Date,Mall,Equipment_ID,Vibration_mm_s,Temperature_C,Failure_Occurred
2022-02-15,Mall_1,Mall_1_Escalator_A,2.22,34.49,0
2022-02-16,Mall_1,Mall_1_Escalator_A,2.76,35.35,0
2022-02-17,Mall_1,Mall_1_Escalator_A,2.18,35.42,0
2022-02-18,Mall_1,Mall_1_Escalator_A,2.48,35.98,0
2022-02-19,Mall_1,Mall_1_Escalator_A,2.09,37.27,0
2022-02-20,Mall_1,Mall_1_Escalator_A,2.29,34.44,0
2022-02-21,Mall_1,Mall_1_Escalator_A,2.8,37.64,0
2022-02-22,Mall_1,Mall_1_Escalator_A,2.78,37.63,0
2022-02-23,Mall_1,Mall_1_Escalator_A,2.5,38.02,0
2022-02-24,Mall_1,Mall_1_Escalator_A,2.67,37.72,0
2022-02-25,Mall_1,Mall_1_Escalator_A,2.93,38.33,0
2022-02-26,Mall_1,Mall_1_Escalator_A,2.66,38.09,0
2022-02-27,Mall_1,Mall_1_Escalator_A,2.97,35.98,0
2022-02-28,Mall_1,Mall_1_Escalator_A,2.18,34.84,0
2022-03-01,Mall_1,Mall_1_Escalator_A,2.63,37.04,0
2022-03-02,Mall_1,Mall_1_Escalator_A,3.14,36.37,0
2022-03-03,Mall_1,Mall_1_Escalator_A,3.04,37.16,0
2022-03-04,Mall_1,Mall_1_Escalator_A,2.41,36.19,0
2022-03-05,Mall_1,Mall_1_Escalator_A,3.01,36.04,0
2022-03-06,Mall_1,Mall_1_Escalator_A,3.0,35.84,0
2022-03-07,Mall_1,Mall_1_Escalator_A,3.2,35.8,0
2022-03-08,Mall_1,Mall_1_Escalator_A,2.43,38.23,0
2022-03-09,Mall_1,Mall_1_Escalator_A,2.89,35.22,0
2022-03-10,Mall_1,Mall_1_Escalator_A,2.64,39.1,0
2022-03-11,Mall_1,Mall_1_Escalator_A,3.28,36.95,0
2022-03-12,Mall_1,Mall_1_Escalator_A,2.94,36.86,0
2022-03-13,Mall_1,Mall_1_Escalator_A,3.32,36.52,0
2022-03-14,Mall_1,Mall_1_Escalator_A,3.18,36.0,0
2022-03-15,Mall_1,Mall_1_Escalator_A,3.12,37.38,0
2022-03-16,Mall_1,Mall_1_Escalator_A,2.84,35.82,0
2022-03-17,Mall_1,Mall_1_Escalator_A,3.39,37.67,0
2022-03-18,Mall_1,Mall_1_Escalator_A,3.55,37.92,0
2022-03-19,Mall_1,Mall_1_Escalator_A,3.5,37.34,0
2022-03-20,Mall_1,Mall_1_Escalator_A,3.64,37.34,0
2022-03-21,Mall_1,Mall_1_Escalator_A,3.69,37.87,0
2022-03-22,Mall_1,Mall_1_Escalator_A,2.74,38.61,0
2022-03-23,Mall_1,Mall_1_Escalator_A,3.31,39.67,0
2022-03-24,Mall_1,Mall_1_Escalator_A,3.09,36.35,0
2022-03-25,Mall_1,Mall_1_Escalator_A,3.25,37.81,0
2022-03-26,Mall_1,Mall_1_Escalator_A,3.79,38.58,0
2022-03-27,Mall_1,Mall_1_Escalator_A,3.38,37.06,0
2022-03-28,Mall_1,Mall_1_Escalator_A,3.77,36.16,0
2022-03-29,Mall_1,Mall_1_Escalator_A,3.31,37.94,0
2022-03-30,Mall_1,Mall_1_Escalator_A,3.62,38.52,0
2022-03-31,Mall_1,Mall_1_Escalator_A,3.8,39.19,0
2022-04-01,Mall_1,Mall_1_Escalator_A,3.03,38.79,0
2022-04-02,Mall_1,Mall_1_Escalator_A,3.28,39.22,0
2022-04-03,Mall_1,Mall_1_Escalator_A,4.0,39.13,0
2022-04-04,Mall_1,Mall_1_Escalator_A,3.47,39.92,0
2022-04-05,Mall_1,Mall_1_Escalator_A,3.31,39.71,0
2022-04-06,Mall_1,Mall_1_Escalator_A,3.09,38.21,0
2022-04-07,Mall_1,Mall_1_Escalator_A,4.0,37.2,0
2022-04-08,Mall_1,Mall_1_Escalator_A,3.61,38.84,0
2022-04-09,Mall_1,Mall_1_Escalator_A,3.29,38.92,0
2022-04-10,Mall_1,Mall_1_Escalator_A,4.12,36.87,0
2022-04-11,Mall_1,Mall_1_Escalator_A,3.55,39.63,0
2022-04-12,Mall_1,Mall_1_Escalator_A,3.47,38.55,0
2022-04-13,Mall_1,Mall_1_Escalator_A,4.26,39.1,0
2022-04-14,Mall_1,Mall_1_Escalator_A,3.69,38.73,0
2022-04-15,Mall_1,Mall_1_Escalator_A,3.75,40.8,0
2022-04-16,Mall_1,Mall_1_Escalator_A,3.79,39.25,0
2022-04-17,Mall_1,Mall_1_Escalator_A,3.45,38.52,0
2022-04-18,Mall_1,Mall_1_Escalator_A,4.03,39.06,0
2022-04-19,Mall_1,Mall_1_Escalator_A,4.23,40.75,0
2022-04-20,Mall_1,Mall_1_Escalator_A,4.03,39.59,0
2022-04-21,Mall_1,Mall_1_Escalator_A,4.3,38.33,0
2022-04-22,Mall_1,Mall_1_Escalator_A,3.86,39.73,0
2022-04-23,Mall_1,Mall_1_Escalator_A,4.05,39.87,0
2022-04-24,Mall_1,Mall_1_Escalator_A,4.34,40.32,0
2022-04-25,Mall_1,Mall_1_Escalator_A,4.48,38.62,0
2022-04-26,Mall_1,Mall_1_Escalator_A,3.67,39.19,0
2022-04-27,Mall_1,Mall_1_Escalator_A,3.98,38.02,0
2022-04-28,Mall_1,Mall_1_Escalator_A,4.51,39.08,0
2022-04-29,Mall_1,Mall_1_Escalator_A,3.82,37.79,0
2022-04-30,Mall_1,Mall_1_Escalator_A,3.74,40.25,0
2022-05-01,Mall_1,Mall_1_Escalator_A,4.45,38.58,0
2022-05-02,Mall_1,Mall_1_Escalator_A,4.05,40.32,0
2022-05-03,Mall_1,Mall_1_Escalator_A,4.46,38.09,0
2022-05-04,Mall_1,Mall_1_Escalator_A,4.24,39.68,0
2022-05-05,Mall_1,Mall_1_Escalator_A,4.1,41.39,0
2022-05-06,Mall_1,Mall_1_Escalator_A,4.08,38.27,0
2022-05-07,Mall_1,Mall_1_Escalator_A,4.54,39.55,0
2022-05-08,Mall_1,Mall_1_Escalator_A,4.07,41.81,0
2022-05-09,Mall_1,Mall_1_Escalator_A,3.9,38.92,0
2022-05-10,Mall_1,Mall_1_Escalator_A,3.85,40.69,0
2022-05-11,Mall_1,Mall_1_Escalator_A,4.6,38.5,0
2022-05-12,Mall_1,Mall_1_Escalator_A,4.66,38.89,0
2022-05-13,Mall_1,Mall_1_Escalator_A,4.43,38.78,0
2022-05-14,Mall_1,Mall_1_Escalator_A,4.5,39.6,0
2022-05-15,Mall_1,Mall_1_Escalator_A,4.35,41.3,0
2022-05-16,Mall_1,Mall_1_Escalator_A,4.61,41.08,0
2022-05-17,Mall_1,Mall_1_Escalator_A,4.76,39.89,0
2022-05-18,Mall_1,Mall_1_Escalator_A,4.58,41.71,0
2022-05-19,Mall_1,Mall_1_Escalator_A,4.31,40.13,0
2022-05-20,Mall_1,Mall_1_Escalator_A,4.09,41.86,0
2022-05-21,Mall_1,Mall_1_Escalator_A,4.05,42.61,0
2022-05-22,Mall_1,Mall_1_Escalator_A,4.12,39.09,0
2022-05-23,Mall_1,Mall_1_Escalator_A,4.72,41.75,0
2022-05-24,Mall_1,Mall_1_Escalator_A,4.47,42.5,0
2022-05-25,Mall_1,Mall_1_Escalator_A,5.01,42.5,0
2022-05-26,Mall_1,Mall_1_Escalator_A,4.41,41.76,0
2022-05-27,Mall_1,Mall_1_Escalator_A,4.37,42.9,0
2022-05-28,Mall_1,Mall_1_Escalator_A,4.86,41.71,0
2022-05-29,Mall_1,Mall_1_Escalator_A,4.74,41.2,0
2022-05-30,Mall_1,Mall_1_Escalator_A,4.43,42.53,0
2022-05-31,Mall_1,Mall_1_Escalator_A,5.22,39.91,0
2022-06-01,Mall_1,Mall_1_Escalator_A,4.71,43.04,0
2022-06-02,Mall_1,Mall_1_Escalator_A,5.19,43.39,0
2022-06-03,Mall_1,Mall_1_Escalator_A,4.62,40.8,0
2022-06-04,Mall_1,Mall_1_Escalator_A,4.6,41.94,0
2022-06-05,Mall_1,Mall_1_Escalator_A,5.37,41.29,0
2022-06-06,Mall_1,Mall_1_Escalator_A,5.2,42.09,0
2022-06-07,Mall_1,Mall_1_Escalator_A,4.93,41.24,0
2022-06-08,Mall_1,Mall_1_Escalator_A,5.12,40.07,0
2022-06-09,Mall_1,Mall_1_Escalator_A,5.14,41.48,0
2022-06-10,Mall_1,Mall_1_Escalator_A,4.98,41.0,0
2022-06-11,Mall_1,Mall_1_Escalator_A,4.98,41.56,0
2022-06-12,Mall_1,Mall_1_Escalator_A,5.46,42.62,0
2022-06-13,Mall_1,Mall_1_Escalator_A,4.9,40.51,0
2022-06-14,Mall_1,Mall_1_Escalator_A,5.5,42.94,0
2022-06-15,Mall_1,Mall_1_Escalator_A,5.27,40.66,0
2022-06-16,Mall_1,Mall_1_Escalator_A,5.24,43.87,0
2022-06-17,Mall_1,Mall_1_Escalator_A,5.53,42.49,0
2022-06-18,Mall_1,Mall_1_Escalator_A,5.74,43.99,0
2022-06-19,Mall_1,Mall_1_Escalator_A,5.38,43.51,0
2022-06-20,Mall_1,Mall_1_Escalator_A,5.33,40.41,0
2022-06-21,Mall_1,Mall_1_Escalator_A,5.81,44.16,0
2022-06-22,Mall_1,Mall_1_Escalator_A,5.42,41.5,0
2022-06-23,Mall_1,Mall_1_Escalator_A,5.91,43.45,0
2022-06-24,Mall_1,Mall_1_Escalator_A,5.96,42.55,0
2022-06-25,Mall_1,Mall_1_Escalator_A,5.36,42.57,0
2022-06-26,Mall_1,Mall_1_Escalator_A,5.21,42.97,0
2022-06-27,Mall_1,Mall_1_Escalator_A,5.47,42.14,0
2022-06-28,Mall_1,Mall_1_Escalator_A,5.79,41.17,0
2022-06-29,Mall_1,Mall_1_Escalator_A,6.1,41.8,0
2022-06-30,Mall_1,Mall_1_Escalator_A,5.4,44.67,0
2022-07-01,Mall_1,Mall_1_Escalator_A,6.13,44.61,0
2022-07-02,Mall_1,Mall_1_Escalator_A,5.63,41.97,0
2022-07-03,Mall_1,Mall_1_Escalator_A,5.62,43.22,0
2022-07-04,Mall_1,Mall_1_Escalator_A,6.3,43.84,0
2022-07-05,Mall_1,Mall_1_Escalator_A,5.81,44.67,0
2022-07-06,Mall_1,Mall_1_Escalator_A,5.59,41.97,0
2022-07-07,Mall_1,Mall_1_Escalator_A,6.31,41.21,0
2022-07-08,Mall_1,Mall_1_Escalator_A,6.08,41.39,0
2022-07-09,Mall_1,Mall_1_Escalator_A,5.91,43.43,0
2022-07-10,Mall_1,Mall_1_Escalator_A,5.54,44.56,0
2022-07-11,Mall_1,Mall_1_Escalator_A,6.2,41.76,0
2022-07-12,Mall_1,Mall_1_Escalator_A,6.14,44.74,0
2022-07-13,Mall_1,Mall_1_Escalator_A,6.11,43.6,0
2022-07-14,Mall_1,Mall_1_Escalator_A,5.97,43.63,0
2022-07-15,Mall_1,Mall_1_Escalator_A,5.83,44.39,0
2022-07-16,Mall_1,Mall_1_Escalator_A,6.64,42.16,0
2022-07-17,Mall_1,Mall_1_Escalator_A,6.39,41.78,0
2022-07-18,Mall_1,Mall_1_Escalator_A,6.05,42.04,0
2022-07-19,Mall_1,Mall_1_Escalator_A,6.36,42.07,0
2022-07-20,Mall_1,Mall_1_Escalator_A,6.21,42.74,0
2022-07-21,Mall_1,Mall_1_Escalator_A,6.55,44.29,0
2022-07-22,Mall_1,Mall_1_Escalator_A,6.26,43.09,0
2022-07-23,Mall_1,Mall_1_Escalator_A,6.62,42.29,0
2022-07-24,Mall_1,Mall_1_Escalator_A,6.34,44.74,0
2022-07-25,Mall_1,Mall_1_Escalator_A,6.24,42.93,0
2022-07-26,Mall_1,Mall_1_Escalator_A,6.83,43.69,0
2022-07-27,Mall_1,Mall_1_Escalator_A,6.8,43.61,0
2022-07-28,Mall_1,Mall_1_Escalator_A,6.91,43.68,0
2022-07-29,Mall_1,Mall_1_Escalator_A,6.36,45.11,0
2022-07-30,Mall_1,Mall_1_Escalator_A,6.83,43.21,0
2022-07-31,Mall_1,Mall_1_Escalator_A,6.77,44.86,0
2022-08-01,Mall_1,Mall_1_Escalator_A,7.07,42.85,0
2022-08-02,Mall_1,Mall_1_Escalator_A,6.65,46.52,0
2022-08-03,Mall_1,Mall_1_Escalator_A,6.75,45.5,0
2022-08-04,Mall_1,Mall_1_Escalator_A,6.58,44.33,0
2022-08-05,Mall_1,Mall_1_Escalator_A,6.42,46.66,0
2022-08-06,Mall_1,Mall_1_Escalator_A,6.31,44.48,0
2022-08-07,Mall_1,Mall_1_Escalator_A,6.71,44.18,0
2022-08-08,Mall_1,Mall_1_Escalator_A,6.8,45.26,0
2022-08-09,Mall_1,Mall_1_Escalator_A,6.44,46.51,0
2022-08-10,Mall_1,Mall_1_Escalator_A,6.68,45.04,0
2022-08-11,Mall_1,Mall_1_Escalator_A,7.29,46.47,0
2022-08-12,Mall_1,Mall_1_Escalator_A,7.16,43.43,0
2022-08-13,Mall_1,Mall_1_Escalator_A,6.83,44.07,0
2022-08-14,Mall_1,Mall_1_Escalator_A,6.85,46.03,0
2022-08-15,Mall_1,Mall_1_Escalator_A,6.64,46.47,0
2022-08-16,Mall_1,Mall_1_Escalator_A,7.12,46.0,0
2022-08-17,Mall_1,Mall_1_Escalator_A,6.64,47.22,0
2022-08-18,Mall_1,Mall_1_Escalator_A,6.81,46.06,0
2022-08-19,Mall_1,Mall_1_Escalator_A,7.59,44.42,0
2022-08-20,Mall_1,Mall_1_Escalator_A,6.97,47.29,0
2022-08-21,Mall_1,Mall_1_Escalator_A,7.48,46.99,0
2022-08-22,Mall_1,Mall_1_Escalator_A,7.1,46.95,0
2022-08-23,Mall_1,Mall_1_Escalator_A,7.01,45.11,0
2022-08-24,Mall_1,Mall_1_Escalator_A,7.38,47.04,0
2022-08-25,Mall_1,Mall_1_Escalator_A,7.16,44.95,0
2022-08-26,Mall_1,Mall_1_Escalator_A,7.66,45.67,0
2022-08-27,Mall_1,Mall_1_Escalator_A,7.05,44.18,0
2022-08-28,Mall_1,Mall_1_Escalator_A,7.4,46.46,0
2022-08-29,Mall_1,Mall_1_Escalator_A,7.0,45.62,0
2022-08-30,Mall_1,Mall_1_Escalator_A,7.33,44.76,0
2022-08-31,Mall_1,Mall_1_Escalator_A,7.87,44.59,0
2022-09-01,Mall_1,Mall_1_Escalator_A,7.32,45.55,0
2022-09-02,Mall_1,Mall_1_Escalator_A,7.26,47.93,0
2022-09-03,Mall_1,Mall_1_Escalator_A,7.39,47.96,0
2022-09-04,Mall_1,Mall_1_Escalator_A,7.71,45.1,0
2022-09-05,Mall_1,Mall_1_Escalator_A,7.29,48.11,0
2022-09-06,Mall_1,Mall_1_Escalator_A,7.54,46.52,0
2022-09-07,Mall_1,Mall_1_Escalator_A,7.95,46.37,0
2022-09-08,Mall_1,Mall_1_Escalator_A,7.4,48.2,0
2022-09-09,Mall_1,Mall_1_Escalator_A,7.94,46.15,0
2022-09-10,Mall_1,Mall_1_Escalator_A,8.09,45.93,0
2022-09-11,Mall_1,Mall_1_Escalator_A,7.73,46.11,0
2022-09-12,Mall_1,Mall_1_Escalator_A,7.42,48.19,0
2022-09-13,Mall_1,Mall_1_Escalator_A,7.32,45.81,0
2022-09-14,Mall_1,Mall_1_Escalator_A,7.27,48.81,0
2022-09-15,Mall_1,Mall_1_Escalator_A,7.31,49.08,0
2022-09-16,Mall_1,Mall_1_Escalator_A,7.41,47.8,0
2022-09-17,Mall_1,Mall_1_Escalator_A,7.56,48.23,0
2022-09-18,Mall_1,Mall_1_Escalator_A,7.42,45.52,0
2022-09-19,Mall_1,Mall_1_Escalator_A,8.06,47.89,0
2022-09-20,Mall_1,Mall_1_Escalator_A,8.07,49.13,0
2022-09-21,Mall_1,Mall_1_Escalator_A,7.57,45.96,0
2022-09-22,Mall_1,Mall_1_Escalator_A,8.19,46.94,0
2022-09-23,Mall_1,Mall_1_Escalator_A,8.23,48.56,0
2022-09-24,Mall_1,Mall_1_Escalator_A,7.83,49.06,0
2022-09-25,Mall_1,Mall_1_Escalator_A,8.22,48.66,0
2022-09-26,Mall_1,Mall_1_Escalator_A,8.08,46.44,0
2022-09-27,Mall_1,Mall_1_Escalator_A,8.28,45.71,0
2022-09-28,Mall_1,Mall_1_Escalator_A,8.34,48.77,0
2022-09-29,Mall_1,Mall_1_Escalator_A,8.57,46.93,0
2022-09-30,Mall_1,Mall_1_Escalator_A,8.31,49.63,0
2022-10-01,Mall_1,Mall_1_Escalator_A,8.06,49.09,0
2022-10-02,Mall_1,Mall_1_Escalator_A,7.73,48.95,0
2022-10-03,Mall_1,Mall_1_Escalator_A,8.29,46.45,0
2022-10-04,Mall_1,Mall_1_Escalator_A,8.51,49.11,0
2022-10-05,Mall_1,Mall_1_Escalator_A,8.18,47.92,0
2022-10-06,Mall_1,Mall_1_Escalator_A,8.21,46.86,0
2022-10-07,Mall_1,Mall_1_Escalator_A,8.09,48.53,0
2022-10-08,Mall_1,Mall_1_Escalator_A,8.12,47.84,0
2022-10-09,Mall_1,Mall_1_Escalator_A,7.9,47.05,0
2022-10-10,Mall_1,Mall_1_Escalator_A,8.2,47.94,0
2022-10-11,Mall_1,Mall_1_Escalator_A,8.52,46.8,0
2022-10-12,Mall_1,Mall_1_Escalator_A,8.62,47.51,0
2022-10-13,Mall_1,Mall_1_Escalator_A,8.61,48.72,0
2022-10-14,Mall_1,Mall_1_Escalator_A,8.12,49.6,0
2022-10-15,Mall_1,Mall_1_Escalator_A,8.51,46.31,0
2022-10-16,Mall_1,Mall_1_Escalator_A,8.75,48.11,0
2022-10-17,Mall_1,Mall_1_Escalator_A,8.39,49.63,0
2022-10-18,Mall_1,Mall_1_Escalator_A,8.09,46.51,0
2022-10-19,Mall_1,Mall_1_Escalator_A,8.31,48.28,0
2022-10-20,Mall_1,Mall_1_Escalator_A,8.09,50.53,0
2022-10-21,Mall_1,Mall_1_Escalator_A,8.81,47.54,0
2022-10-22,Mall_1,Mall_1_Escalator_A,9.03,46.96,0
2022-10-23,Mall_1,Mall_1_Escalator_A,8.95,49.77,0
2022-10-24,Mall_1,Mall_1_Escalator_A,8.65,48.78,0
2022-10-25,Mall_1,Mall_1_Escalator_A,8.55,48.53,0
2022-10-26,Mall_1,Mall_1_Escalator_A,8.72,47.83,0
2022-10-27,Mall_1,Mall_1_Escalator_A,8.81,50.61,0
2022-10-28,Mall_1,Mall_1_Escalator_A,8.53,48.24,0
2022-10-29,Mall_1,Mall_1_Escalator_A,8.83,48.11,0
2022-10-30,Mall_1,Mall_1_Escalator_A,8.91,48.86,0
2022-10-31,Mall_1,Mall_1_Escalator_A,9.19,47.79,0
2022-11-01,Mall_1,Mall_1_Escalator_A,9.21,49.23,0
2022-11-02,Mall_1,Mall_1_Escalator_A,9.06,50.7,0
2022-11-03,Mall_1,Mall_1_Escalator_A,8.62,49.09,0
2022-11-04,Mall_1,Mall_1_Escalator_A,8.81,49.72,0
2022-11-05,Mall_1,Mall_1_Escalator_A,8.71,48.73,0
2022-11-06,Mall_1,Mall_1_Escalator_A,9.42,48.66,0
2022-11-07,Mall_1,Mall_1_Escalator_A,8.76,51.17,0
2022-11-08,Mall_1,Mall_1_Escalator_A,8.56,51.27,0
2022-11-09,Mall_1,Mall_1_Escalator_A,8.57,48.75,0
2022-11-10,Mall_1,Mall_1_Escalator_A,9.26,48.78,0
2022-11-11,Mall_1,Mall_1_Escalator_A,9.46,50.87,0
2022-11-12,Mall_1,Mall_1_Escalator_A,8.75,51.45,0
2022-11-13,Mall_1,Mall_1_Escalator_A,9.08,48.53,0
2022-11-14,Mall_1,Mall_1_Escalator_A,9.32,51.74,0
2022-11-15,Mall_1,Mall_1_Escalator_A,9.05,49.93,0
2022-11-16,Mall_1,Mall_1_Escalator_A,9.45,51.12,0
2022-11-17,Mall_1,Mall_1_Escalator_A,9.03,49.99,0
2022-11-18,Mall_1,Mall_1_Escalator_A,8.77,51.63,0
2022-11-19,Mall_1,Mall_1_Escalator_A,9.01,50.91,0
2022-11-20,Mall_1,Mall_1_Escalator_A,9.15,48.42,0
2022-11-21,Mall_1,Mall_1_Escalator_A,9.55,50.74,0
2022-11-22,Mall_1,Mall_1_Escalator_A,9.26,48.57,0
2022-11-23,Mall_1,Mall_1_Escalator_A,9.15,52.37,0
2022-11-24,Mall_1,Mall_1_Escalator_A,9.11,48.79,0
2022-11-25,Mall_1,Mall_1_Escalator_A,9.23,49.42,0
2022-11-26,Mall_1,Mall_1_Escalator_A,9.69,52.17,0
2022-11-27,Mall_1,Mall_1_Escalator_A,8.99,51.45,0
2022-11-28,Mall_1,Mall_1_Escalator_A,9.01,50.83,0
2022-11-29,Mall_1,Mall_1_Escalator_A,9.02,49.29,0
2022-11-30,Mall_1,Mall_1_Escalator_A,9.73,50.51,0
2022-12-01,Mall_1,Mall_1_Escalator_A,9.66,50.2,0
2022-12-02,Mall_1,Mall_1_Escalator_A,9.89,52.77,0
2022-12-03,Mall_1,Mall_1_Escalator_A,9.53,50.56,0
2022-12-04,Mall_1,Mall_1_Escalator_A,9.87,49.82,0
2022-12-05,Mall_1,Mall_1_Escalator_A,9.76,49.64,0
2022-12-06,Mall_1,Mall_1_Escalator_A,9.49,49.66,0
2022-12-07,Mall_1,Mall_1_Escalator_A,9.64,49.82,0
2022-12-08,Mall_1,Mall_1_Escalator_A,9.73,50.84,0
2022-12-09,Mall_1,Mall_1_Escalator_A,10.1,53.18,0
2022-12-10,Mall_1,Mall_1_Escalator_A,9.2,52.77,0
2022-12-11,Mall_1,Mall_1_Escalator_A,10.2,52.29,0
2022-12-12,Mall_1,Mall_1_Escalator_A,10.19,52.0,0
2022-12-13,Mall_1,Mall_1_Escalator_A,9.41,50.92,0
2022-12-14,Mall_1,Mall_1_Escalator_A,9.61,50.62,0
2022-12-15,Mall_1,Mall_1_Escalator_A,10.01,51.47,0
2022-12-16,Mall_1,Mall_1_Escalator_A,10.24,53.41,0
2022-12-17,Mall_1,Mall_1_Escalator_A,9.56,53.1,0
2022-12-18,Mall_1,Mall_1_Escalator_A,9.84,50.48,0
2022-12-19,Mall_1,Mall_1_Escalator_A,9.7,53.41,0
2022-12-20,Mall_1,Mall_1_Escalator_A,9.62,52.72,0
2022-12-21,Mall_1,Mall_1_Escalator_A,10.19,52.34,0
2022-12-22,Mall_1,Mall_1_Escalator_A,10.18,53.1,0
2022-12-23,Mall_1,Mall_1_Escalator_A,1.08,30.46,1
2022-12-24,Mall_1,Mall_1_Escalator_A,1.56,32.82,0
2022-12-25,Mall_1,Mall_1_Escalator_A,1.65,32.67,0
2022-12-26,Mall_1,Mall_1_Escalator_A,0.9,31.68,0
2022-12-27,Mall_1,Mall_1_Escalator_A,1.38,30.83,0
2022-12-28,Mall_1,Mall_1_Escalator_A,1.91,31.18,0
2022-12-29,Mall_1,Mall_1_Escalator_A,1.2,31.59,0
2022-12-30,Mall_1,Mall_1_Escalator_A,1.81,31.45,0
2022-12-31,Mall_1,Mall_1_Escalator_A,1.36,32.63,0
2023-01-01,Mall_1,Mall_1_Escalator_A,1.78,30.65,0
2023-01-02,Mall_1,Mall_1_Escalator_A,1.86,33.94,0
2023-01-03,Mall_1,Mall_1_Escalator_A,1.53,32.6,0
2023-01-04,Mall_1,Mall_1_Escalator_A,1.44,34.29,0
2023-01-05,Mall_1,Mall_1_Escalator_A,1.94,33.05,0
2023-01-06,Mall_1,Mall_1_Escalator_A,2.13,30.92,0
2023-01-07,Mall_1,Mall_1_Escalator_A,1.75,32.52,0
2023-01-08,Mall_1,Mall_1_Escalator_A,1.39,30.8,0
2023-01-09,Mall_1,Mall_1_Escalator_A,1.26,33.87,0
2023-01-10,Mall_1,Mall_1_Escalator_A,1.82,33.62,0
2023-01-11,Mall_1,Mall_1_Escalator_A,1.45,33.52,0
2023-01-12,Mall_1,Mall_1_Escalator_A,1.63,30.89,0
2023-01-13,Mall_1,Mall_1_Escalator_A,1.31,31.86,0
2023-01-14,Mall_1,Mall_1_Escalator_A,1.54,33.47,0
2023-01-15,Mall_1,Mall_1_Escalator_A,2.35,34.48,0
2023-01-16,Mall_1,Mall_1_Escalator_A,1.66,34.34,0
2023-01-17,Mall_1,Mall_1_Escalator_A,2.36,33.72,0
2023-01-18,Mall_1,Mall_1_Escalator_A,2.04,32.51,0
2023-01-19,Mall_1,Mall_1_Escalator_A,1.57,33.47,0
2023-01-20,Mall_1,Mall_1_Escalator_A,1.84,32.77,0
2023-01-21,Mall_1,Mall_1_Escalator_A,2.54,33.61,0
