Date,Agency,Policy_Type,Coverage,Conversions
2022-01-14,StateFarm,Auto,Comprehensive,248
2022-01-14,StateFarm,Auto,Liability,330
2022-01-14,StateFarm,Home,Property,109
2022-01-14,StateFarm,Home,Renters,219
2022-01-14,StateFarm,Life,Term,173
2022-01-14,StateFarm,Life,Whole,296
2022-01-14,Allstate,Auto,Comprehensive,183
2022-01-14,Allstate,Auto,Liability,188
2022-01-14,Allstate,Home,Property,189
2022-01-14,Allstate,Home,Renters,59
2022-01-14,Allstate,Life,Term,224
2022-01-14,Allstate,Life,Whole,251
2022-01-15,Geico,Auto,Comprehensive,129
2022-01-15,Geico,Auto,Liability,247
2022-01-15,Geico,Home,Property,102
2022-01-15,Geico,Home,Renters,294
2022-01-15,Geico,Life,Term,81
2022-01-15,Geico,Life,Whole,123
2022-01-15,StateFarm,Auto,Comprehensive,146
2022-01-15,StateFarm,Auto,Liability,110
2022-01-15,StateFarm,Home,Property,299
2022-01-15,StateFarm,Home,Renters,209
2022-01-15,StateFarm,Life,Term,100
2022-01-15,StateFarm,Life,Whole,96
2022-01-15,Allstate,Auto,Comprehensive,202
2022-01-15,Allstate,Auto,Liability,140
2022-01-15,Allstate,Home,Property,231
2022-01-15,Allstate,Home,Renters,275
2022-01-15,Allstate,Life,Term,276
2022-01-15,Allstate,Life,Whole,135
2022-01-16,Geico,Auto,Comprehensive,279
2022-01-16,Geico,Auto,Liability,178
2022-01-16,Geico,Home,Property,253
2022-01-16,Geico,Home,Renters,163
2022-01-16,Geico,Life,Term,258
2022-01-16,Geico,Life,Whole,78
2022-01-16,StateFarm,Auto,Comprehensive,321
2022-01-16,StateFarm,Auto,Liability,240
2022-01-16,StateFarm,Home,Property,189
2022-01-16,StateFarm,Home,Renters,284
2022-01-16,StateFarm,Life,Term,239
2022-01-16,StateFarm,Life,Whole,201
2022-01-16,Allstate,Auto,Comprehensive,276
2022-01-16,Allstate,Auto,Liability,287
2022-01-16,Allstate,Home,Property,156
2022-01-16,Allstate,Home,Renters,50
2022-01-16,Allstate,Life,Term,147
2022-01-16,Allstate,Life,Whole,104
2022-01-17,Geico,Auto,Comprehensive,205
2022-01-17,Geico,Auto,Liability,231
2022-01-17,Geico,Home,Property,115
2022-01-17,Geico,Home,Renters,135
2022-01-17,Geico,Life,Term,247
2022-01-17,Geico,Life,Whole,92
2022-01-17,StateFarm,Auto,Comprehensive,301
2022-01-17,StateFarm,Auto,Liability,281
2022-01-17,StateFarm,Home,Property,74
2022-01-17,StateFarm,Home,Renters,208
2022-01-17,StateFarm,Life,Term,171
2022-01-17,StateFarm,Life,Whole,259
2022-01-17,Allstate,Auto,Comprehensive,218
2022-01-17,Allstate,Auto,Liability,236
2022-01-17,Allstate,Home,Property,111
2022-01-17,Allstate,Home,Renters,118
2022-01-17,Allstate,Life,Term,139
2022-01-17,Allstate,Life,Whole,183
2022-01-18,Geico,Auto,Comprehensive,314
2022-01-18,Geico,Auto,Liability,295
2022-01-18,Geico,Home,Property,218
2022-01-18,Geico,Home,Renters,150
2022-01-18,Geico,Life,Term,78
2022-01-18,Geico,Life,Whole,202
2022-01-18,StateFarm,Auto,Comprehensive,129
2022-01-18,StateFarm,Auto,Liability,162
2022-01-18,StateFarm,Home,Property,269
2022-01-18,StateFarm,Home,Renters,142
2022-01-18,StateFarm,Life,Term,87
2022-01-18,StateFarm,Life,Whole,166
2022-01-18,Allstate,Auto,Comprehensive,155
2022-01-18,Allstate,Auto,Liability,235
2022-01-18,Allstate,Home,Property,98
2022-01-18,Allstate,Home,Renters,185
2022-01-18,Allstate,Life,Term,64
2022-01-18,Allstate,Life,Whole,191
2022-01-19,Geico,Auto,Comprehensive,321
2022-01-19,Geico,Auto,Liability,298
2022-01-19,Geico,Home,Property,269
2022-01-19,Geico,Home,Renters,77
2022-01-19,Geico,Life,Term,87
2022-01-19,Geico,Life,Whole,289
2022-01-19,StateFarm,Auto,Comprehensive,111
2022-01-19,StateFarm,Auto,Liability,181
2022-01-19,StateFarm,Home,Property,206
2022-01-19,StateFarm,Home,Renters,222
2022-01-19,StateFarm,Life,Term,84
2022-01-19,StateFarm,Life,Whole,101
2022-01-19,Allstate,Auto,Comprehensive,299
2022-01-19,Allstate,Auto,Liability,130
2022-01-19,Allstate,Home,Property,251
2022-01-19,Allstate,Home,Renters,272
2022-01-19,Allstate,Life,Term,292
2022-01-19,Allstate,Life,Whole,213
2022-01-20,Geico,Auto,Comprehensive,184
2022-01-20,Geico,Auto,Liability,365
2022-01-20,Geico,Home,Property,160
2022-01-20,Geico,Home,Renters,93
2022-01-20,Geico,Life,Term,209
2022-01-20,Geico,Life,Whole,167
2022-01-20,StateFarm,Auto,Comprehensive,144
2022-01-20,StateFarm,Auto,Liability,134
2022-01-20,StateFarm,Home,Property,250
2022-01-20,StateFarm,Home,Renters,239
2022-01-20,StateFarm,Life,Term,279
2022-01-20,StateFarm,Life,Whole,89
2022-01-20,Allstate,Auto,Comprehensive,251
2022-01-20,Allstate,Auto,Liability,153
2022-01-20,Allstate,Home,Property,254
2022-01-20,Allstate,Home,Renters,99
2022-01-20,Allstate,Life,Term,80
2022-01-20,Allstate,Life,Whole,284
2022-01-21,Geico,Auto,Comprehensive,143
2022-01-21,Geico,Auto,Liability,182
2022-01-21,Geico,Home,Property,105
2022-01-21,Geico,Home,Renters,265
2022-01-21,Geico,Life,Term,125
2022-01-21,Geico,Life,Whole,129
2022-01-21,StateFarm,Auto,Comprehensive,202
2022-01-21,StateFarm,Auto,Liability,249
2022-01-21,StateFarm,Home,Property,90
2022-01-21,StateFarm,Home,Renters,65
2022-01-21,StateFarm,Life,Term,146
2022-01-21,StateFarm,Life,Whole,129
2022-01-21,Allstate,Auto,Comprehensive,344
2022-01-21,Allstate,Auto,Liability,195
2022-01-21,Allstate,Home,Property,106
2022-01-21,Allstate,Home,Renters,210
2022-01-21,Allstate,Life,Term,147
2022-01-21,Allstate,Life,Whole,184
2022-01-22,Geico,Auto,Comprehensive,166
2022-01-22,Geico,Auto,Liability,193
2022-01-22,Geico,Home,Property,84
2022-01-22,Geico,Home,Renters,155
2022-01-22,Geico,Life,Term,255
2022-01-22,Geico,Life,Whole,244
2022-01-22,StateFarm,Auto,Comprehensive,230
2022-01-22,StateFarm,Auto,Liability,229
2022-01-22,StateFarm,Home,Property,213
2022-01-22,StateFarm,Home,Renters,191
2022-01-22,StateFarm,Life,Term,243
2022-01-22,StateFarm,Life,Whole,58
2022-01-22,Allstate,Auto,Comprehensive,309
2022-01-22,Allstate,Auto,Liability,299
2022-01-22,Allstate,Home,Property,83
2022-01-22,Allstate,Home,Renters,144
2022-01-22,Allstate,Life,Term,103
2022-01-22,Allstate,Life,Whole,133
2022-01-23,Geico,Auto,Comprehensive,164
2022-01-23,Geico,Auto,Liability,233
2022-01-23,Geico,Home,Property,197
2022-01-23,Geico,Home,Renters,143
2022-01-23,Geico,Life,Term,196
2022-01-23,Geico,Life,Whole,263
2022-01-23,StateFarm,Auto,Comprehensive,195
2022-01-23,StateFarm,Auto,Liability,225
2022-01-23,StateFarm,Home,Property,222
2022-01-23,StateFarm,Home,Renters,274
2022-01-23,StateFarm,Life,Term,208
2022-01-23,StateFarm,Life,Whole,68
2022-01-23,Allstate,Auto,Comprehensive,194
2022-01-23,Allstate,Auto,Liability,243
2022-01-23,Allstate,Home,Property,162
2022-01-23,Allstate,Home,Renters,75
2022-01-23,Allstate,Life,Term,92
2022-01-23,Allstate,Life,Whole,284
2022-01-24,Geico,Auto,Comprehensive,361
2022-01-24,Geico,Auto,Liability,294
2022-01-24,Geico,Home,Property,173
2022-01-24,Geico,Home,Renters,87
2022-01-24,Geico,Life,Term,163
2022-01-24,Geico,Life,Whole,180
2022-01-24,StateFarm,Auto,Comprehensive,148
2022-01-24,StateFarm,Auto,Liability,156
2022-01-24,StateFarm,Home,Property,111
2022-01-24,StateFarm,Home,Renters,166
2022-01-24,StateFarm,Life,Term,120
2022-01-24,StateFarm,Life,Whole,259
2022-01-24,Allstate,Auto,Comprehensive,272
2022-01-24,Allstate,Auto,Liability,234
2022-01-24,Allstate,Home,Property,189
2022-01-24,Allstate,Home,Renters,116
2022-01-24,Allstate,Life,Term,138
2022-01-24,Allstate,Life,Whole,257
2022-01-25,Geico,Auto,Comprehensive,357
2022-01-25,Geico,Auto,Liability,305
2022-01-25,Geico,Home,Property,258
2022-01-25,Geico,Home,Renters,61
2022-01-25,Geico,Life,Term,273
2022-01-25,Geico,Life,Whole,66
2022-01-25,StateFarm,Auto,Comprehensive,265
2022-01-25,StateFarm,Auto,Liability,313
2022-01-25,StateFarm,Home,Property,222
2022-01-25,StateFarm,Home,Renters,272
2022-01-25,StateFarm,Life,Term,164
2022-01-25,StateFarm,Life,Whole,295
2022-01-25,Allstate,Auto,Comprehensive,153
2022-01-25,Allstate,Auto,Liability,278
2022-01-25,Allstate,Home,Property,86
2022-01-25,Allstate,Home,Renters,60
2022-01-25,Allstate,Life,Term,90
2022-01-25,Allstate,Life,Whole,143
2022-01-26,Geico,Auto,Comprehensive,128
2022-01-26,Geico,Auto,Liability,216
2022-01-26,Geico,Home,Property,158
2022-01-26,Geico,Home,Renters,90
2022-01-26,Geico,Life,Term,136
2022-01-26,Geico,Life,Whole,162
2022-01-26,StateFarm,Auto,Comprehensive,225
2022-01-26,StateFarm,Auto,Liability,215
2022-01-26,StateFarm,Home,Property,282
2022-01-26,StateFarm,Home,Renters,265
2022-01-26,StateFarm,Life,Term,242
2022-01-26,StateFarm,Life,Whole,215
2022-01-26,Allstate,Auto,Comprehensive,165
2022-01-26,Allstate,Auto,Liability,317
2022-01-26,Allstate,Home,Property,149
2022-01-26,Allstate,Home,Renters,284
2022-01-26,Allstate,Life,Term,160
2022-01-26,Allstate,Life,Whole,143
2022-01-27,Geico,Auto,Comprehensive,270
2022-01-27,Geico,Auto,Liability,340
2022-01-27,Geico,Home,Property,163
2022-01-27,Geico,Home,Renters,274
2022-01-27,Geico,Life,Term,126
2022-01-27,Geico,Life,Whole,226
2022-01-27,StateFarm,Auto,Comprehensive,320
2022-01-27,StateFarm,Auto,Liability,123
2022-01-27,StateFarm,Home,Property,239
2022-01-27,StateFarm,Home,Renters,133
2022-01-27,StateFarm,Life,Term,264
2022-01-27,StateFarm,Life,Whole,270
2022-01-27,Allstate,Auto,Comprehensive,123
2022-01-27,Allstate,Auto,Liability,179
2022-01-27,Allstate,Home,Property,70
2022-01-27,Allstate,Home,Renters,215
2022-01-27,Allstate,Life,Term,65
2022-01-27,Allstate,Life,Whole,63
2022-01-28,Geico,Auto,Comprehensive,108
2022-01-28,Geico,Auto,Liability,294
2022-01-28,Geico,Home,Property,160
2022-01-28,Geico,Home,Renters,140
2022-01-28,Geico,Life,Term,292
2022-01-28,Geico,Life,Whole,299
2022-01-28,StateFarm,Auto,Comprehensive,230
2022-01-28,StateFarm,Auto,Liability,358
2022-01-28,StateFarm,Home,Property,196
2022-01-28,StateFarm,Home,Renters,86
2022-01-28,StateFarm,Life,Term,112
2022-01-28,StateFarm,Life,Whole,93
2022-01-28,Allstate,Auto,Comprehensive,208
2022-01-28,Allstate,Auto,Liability,120
2022-01-28,Allstate,Home,Property,299
2022-01-28,Allstate,Home,Renters,139
2022-01-28,Allstate,Life,Term,222
2022-01-28,Allstate,Life,Whole,159
2022-01-29,Geico,Auto,Comprehensive,279
2022-01-29,Geico,Auto,Liability,309
2022-01-29,Geico,Home,Property,201
2022-01-29,Geico,Home,Renters,53
2022-01-29,Geico,Life,Term,75
2022-01-29,Geico,Life,Whole,89
2022-01-29,StateFarm,Auto,Comprehensive,209
2022-01-29,StateFarm,Auto,Liability,276
2022-01-29,StateFarm,Home,Property,119
2022-01-29,StateFarm,Home,Renters,278
2022-01-29,StateFarm,Life,Term,240
2022-01-29,StateFarm,Life,Whole,149
2022-01-29,Allstate,Auto,Comprehensive,201
2022-01-29,Allstate,Auto,Liability,251
2022-01-29,Allstate,Home,Property,102
2022-01-29,Allstate,Home,Renters,203
2022-01-29,Allstate,Life,Term,186
2022-01-29,Allstate,Life,Whole,108
2022-01-30,Geico,Auto,Comprehensive,108
2022-01-30,Geico,Auto,Liability,239
2022-01-30,Geico,Home,Property,214
2022-01-30,Geico,Home,Renters,189
2022-01-30,Geico,Life,Term,280
2022-01-30,Geico,Life,Whole,284
2022-01-30,StateFarm,Auto,Comprehensive,207
2022-01-30,StateFarm,Auto,Liability,144
2022-01-30,StateFarm,Home,Property,204
2022-01-30,StateFarm,Home,Renters,85
2022-01-30,StateFarm,Life,Term,118
2022-01-30,StateFarm,Life,Whole,55
2022-01-30,Allstate,Auto,Comprehensive,203
2022-01-30,Allstate,Auto,Liability,151
2022-01-30,Allstate,Home,Property,186
2022-01-30,Allstate,Home,Renters,193
2022-01-30,Allstate,Life,Term,63
2022-01-30,Allstate,Life,Whole,197
2022-01-31,Geico,Auto,Comprehensive,220
2022-01-31,Geico,Auto,Liability,281
2022-01-31,Geico,Home,Property,55
2022-01-31,Geico,Home,Renters,99
2022-01-31,Geico,Life,Term,72
2022-01-31,Geico,Life,Whole,205
2022-01-31,StateFarm,Auto,Comprehensive,217
2022-01-31,StateFarm,Auto,Liability,264
2022-01-31,StateFarm,Home,Property,269
2022-01-31,StateFarm,Home,Renters,252
2022-01-31,StateFarm,Life,Term,125
2022-01-31,StateFarm,Life,Whole,113
2022-01-31,Allstate,Auto,Comprehensive,349
2022-01-31,Allstate,Auto,Liability,348
2022-01-31,Allstate,Home,Property,51
2022-01-31,Allstate,Home,Renters,252
2022-01-31,Allstate,Life,Term,50
2022-01-31,Allstate,Life,Whole,125
2022-02-01,Geico,Auto,Comprehensive,206
2022-02-01,Geico,Auto,Liability,297
2022-02-01,Geico,Home,Property,136
2022-02-01,Geico,Home,Renters,160
2022-02-01,Geico,Life,Term,54
2022-02-01,Geico,Life,Whole,77
2022-02-01,StateFarm,Auto,Comprehensive,204
2022-02-01,StateFarm,Auto,Liability,193
2022-02-01,StateFarm,Home,Property,51
2022-02-01,StateFarm,Home,Renters,295
2022-02-01,StateFarm,Life,Term,103
2022-02-01,StateFarm,Life,Whole,83
2022-02-01,Allstate,Auto,Comprehensive,192
2022-02-01,Allstate,Auto,Liability,246
2022-02-01,Allstate,Home,Property,276
2022-02-01,Allstate,Home,Renters,288
2022-02-01,Allstate,Life,Term,258
2022-02-01,Allstate,Life,Whole,143
2022-02-02,Geico,Auto,Comprehensive,237
2022-02-02,Geico,Auto,Liability,213
2022-02-02,Geico,Home,Property,252
2022-02-02,Geico,Home,Renters,239
2022-02-02,Geico,Life,Term,124
2022-02-02,Geico,Life,Whole,262
2022-02-02,StateFarm,Auto,Comprehensive,339
2022-02-02,StateFarm,Auto,Liability,258
2022-02-02,StateFarm,Home,Property,182
2022-02-02,StateFarm,Home,Renters,54
2022-02-02,StateFarm,Life,Term,231
2022-02-02,StateFarm,Life,Whole,211
2022-02-02,Allstate,Auto,Comprehensive,337
2022-02-02,Allstate,Auto,Liability,157
2022-02-02,Allstate,Home,Property,296
2022-02-02,Allstate,Home,Renters,240
2022-02-02,Allstate,Life,Term,184
2022-02-02,Allstate,Life,Whole,259
2022-02-03,Geico,Auto,Comprehensive,175
2022-02-03,Geico,Auto,Liability,187
2022-02-03,Geico,Home,Property,215
2022-02-03,Geico,Home,Renters,296
2022-02-03,Geico,Life,Term,227
2022-02-03,Geico,Life,Whole,172
2022-02-03,StateFarm,Auto,Comprehensive,167
2022-02-03,StateFarm,Auto,Liability,240
2022-02-03,StateFarm,Home,Property,215
2022-02-03,StateFarm,Home,Renters,296
2022-02-03,StateFarm,Life,Term,207
2022-02-03,StateFarm,Life,Whole,258
2022-02-03,Allstate,Auto,Comprehensive,158
2022-02-03,Allstate,Auto,Liability,132
2022-02-03,Allstate,Home,Property,103
2022-02-03,Allstate,Home,Renters,189
2022-02-03,Allstate,Life,Term,210
2022-02-03,Allstate,Life,Whole,98
2022-02-04,Geico,Auto,Comprehensive,106
2022-02-04,Geico,Auto,Liability,164
2022-02-04,Geico,Home,Property,74
2022-02-04,Geico,Home,Renters,57
2022-02-04,Geico,Life,Term,165
2022-02-04,Geico,Life,Whole,101
2022-02-04,StateFarm,Auto,Comprehensive,271
2022-02-04,StateFarm,Auto,Liability,128
2022-02-04,StateFarm,Home,Property,290
2022-02-04,StateFarm,Home,Renters,55
2022-02-04,StateFarm,Life,Term,99
2022-02-04,StateFarm,Life,Whole,202
2022-02-04,Allstate,Auto,Comprehensive,320
2022-02-04,Allstate,Auto,Liability,271
2022-02-04,Allstate,Home,Property,169
2022-02-04,Allstate,Home,Renters,281
2022-02-04,Allstate,Life,Term,203
2022-02-04,Allstate,Life,Whole,136
2022-02-05,Geico,Auto,Comprehensive,171
2022-02-05,Geico,Auto,Liability,121
2022-02-05,Geico,Home,Property,93
2022-02-05,Geico,Home,Renters,272
2022-02-05,Geico,Life,Term,288
2022-02-05,Geico,Life,Whole,220
2022-02-05,StateFarm,Auto,Comprehensive,244
2022-02-05,StateFarm,Auto,Liability,147
2022-02-05,StateFarm,Home,Property,192
2022-02-05,StateFarm,Home,Renters,205
2022-02-05,StateFarm,Life,Term,272
2022-02-05,StateFarm,Life,Whole,204
2022-02-05,Allstate,Auto,Comprehensive,356
2022-02-05,Allstate,Auto,Liability,249
2022-02-05,Allstate,Home,Property,209
2022-02-05,Allstate,Home,Renters,242
2022-02-05,Allstate,Life,Term,67
2022-02-05,Allstate,Life,Whole,143
