transaction_id,customer_id,policy_type,start_date,end_date,premium_amount,status,claim_history
TXN-65dd6df8,C360-100007,Health Insurance,2022-07-02,2023-07-02,1256,Expired,0
TXN-54d7d565,C360-100007,Health Insurance,2023-07-02,2024-07-01,1310,Expired,0
TXN-f6e19b44,C360-100007,Health Insurance,2024-07-01,2025-07-01,1362,Expired,0
TXN-6af8a737,C360-100007,Health Insurance,2025-07-01,2026-07-01,1306,Active,0
TXN-19a9f6fc,C360-100007,Accidental Insurance,2021-07-02,2022-07-02,401,Expired,1
TXN-7fe011de,C360-100007,Accidental Insurance,2022-07-02,2023-07-02,443,Expired,0
TXN-fe23ca77,C360-100007,Accidental Insurance,2023-07-02,2024-07-01,473,Expired,0
TXN-1c8096f4,C360-100007,Accidental Insurance,2024-07-01,2025-07-01,485,Expired,0
TXN-eb962f09,C360-100007,Accidental Insurance,2025-07-01,2026-07-01,501,Cancelled,0
TXN-114131f4,C360-100008,Health Insurance,2021-07-02,2022-07-02,982,Expired,1
TXN-beccfe34,C360-100008,Health Insurance,2022-07-02,2023-07-02,1000,Expired,0
TXN-0139bee3,C360-100008,Health Insurance,2023-07-02,2024-07-01,1048,Expired,0
TXN-4d1b3789,C360-100008,Health Insurance,2024-07-01,2025-07-01,1081,Expired,0
TXN-a9c0f36e,C360-100008,Health Insurance,2025-07-01,2026-07-01,1126,Active,0
TXN-ada1ce1e,C360-100008,Motor Insurance,2021-07-02,2022-07-02,629,Expired,0
TXN-c9c6b401,C360-100008,Accidental Insurance,2021-07-02,2022-07-02,458,Expired,0
TXN-5a18f303,C360-100009,Health Insurance,2021-07-02,2022-07-02,1041,Expired,0
TXN-23611d80,C360-100009,Health Insurance,2022-07-02,2023-07-02,1070,Expired,0
TXN-ef306586,C360-100009,Health Insurance,2023-07-02,2024-07-01,1085,Expired,0
TXN-c676aaa3,C360-100009,Health Insurance,2024-07-01,2025-07-01,1122,Expired,0
TXN-9d133412,C360-100009,Health Insurance,2025-07-01,2026-07-01,1157,Active,2
TXN-f9994ba6,C360-100009,Life Insurance,2021-07-02,2022-07-02,741,Expired,0
TXN-c0643642,C360-100009,Life Insurance,2022-07-02,2023-07-02,765,Expired,1
TXN-2c0a0443,C360-100009,Life Insurance,2023-07-02,2024-07-01,795,Expired,1
TXN-59ec0a92,C360-100009,Life Insurance,2024-07-01,2025-07-01,774,Expired,0
TXN-3c11caf4,C360-100009,Life Insurance,2025-07-01,2026-07-01,873,Active,1
TXN-c4824495,C360-100009,Motor Insurance,2021-07-02,2022-07-02,1096,Expired,0
TXN-d12d8214,C360-100009,Motor Insurance,2022-07-02,2023-07-02,1146,Expired,0
TXN-71fd054b,C360-100009,Motor Insurance,2023-07-02,2024-07-01,1160,Expired,0
TXN-81999755,C360-100009,Motor Insurance,2024-07-01,2025-07-01,1132,Expired,0
TXN-41c3275d,C360-100009,Motor Insurance,2025-07-01,2026-07-01,1224,Active,0
TXN-6c90e7d7,C360-100009,Accidental Insurance,2021-07-02,2022-07-02,1244,Expired,0
TXN-2b3155e2,C360-100009,Accidental Insurance,2022-07-02,2023-07-02,1254,Expired,1
TXN-fd893284,C360-100009,Accidental Insurance,2023-07-02,2024-07-01,1266,Expired,0
TXN-f35f1420,C360-100009,Accidental Insurance,2024-07-01,2025-07-01,1331,Expired,0
TXN-d8b4a4a6,C360-100009,Accidental Insurance,2025-07-01,2026-07-01,1340,Active,0
TXN-f120add0,C360-100010,Health Insurance,2021-07-02,2022-07-02,1196,Expired,0
TXN-259b5369,C360-100010,Health Insurance,2022-07-02,2023-07-02,1223,Expired,0
TXN-e25ddbe1,C360-100010,Health Insurance,2023-07-02,2024-07-01,1222,Expired,0
TXN-12e17afd,C360-100010,Health Insurance,2024-07-01,2025-07-01,1256,Expired,0
TXN-dfd4193e,C360-100010,Health Insurance,2025-07-01,2026-07-01,1316,Active,0
TXN-f48cc4ce,C360-100010,Life Insurance,2021-07-02,2022-07-02,1120,Expired,0
TXN-67fd9796,C360-100010,Life Insurance,2022-07-02,2023-07-02,1164,Expired,0
TXN-e2f2d64d,C360-100010,Life Insurance,2023-07-02,2024-07-01,1218,Expired,0
TXN-16144d69,C360-100010,Life Insurance,2024-07-01,2025-07-01,1186,Expired,0
TXN-be88fce4,C360-100010,Life Insurance,2025-07-01,2026-07-01,1256,Active,0
TXN-53aaaaf3,C360-100010,Motor Insurance,2021-07-02,2022-07-02,1065,Expired,2
TXN-b444426c,C360-100010,Motor Insurance,2022-07-02,2023-07-02,1075,Expired,0
TXN-07bdc525,C360-100010,Motor Insurance,2023-07-02,2024-07-01,1123,Expired,0
TXN-8265f010,C360-100010,Motor Insurance,2024-07-01,2025-07-01,1209,Expired,1
TXN-506122ff,C360-100010,Motor Insurance,2025-07-01,2026-07-01,1141,Active,0
TXN-6bcd4b7e,C360-100010,Accidental Insurance,2021-07-02,2022-07-02,416,Expired,1
TXN-77c8efb8,C360-100010,Accidental Insurance,2022-07-02,2023-07-02,443,Expired,1
TXN-feb3f7bb,C360-100010,Accidental Insurance,2023-07-02,2024-07-01,488,Expired,0
TXN-b5b823b4,C360-100010,Accidental Insurance,2024-07-01,2025-07-01,464,Expired,2
TXN-37b66292,C360-100010,Accidental Insurance,2025-07-01,2026-07-01,516,Active,0
TXN-9c82b964,C360-100011,Health Insurance,2021-07-02,2022-07-02,392,Expired,0
TXN-e0f5a311,C360-100011,Health Insurance,2022-07-02,2023-07-02,421,Expired,1
TXN-ef7ec6f5,C360-100011,Health Insurance,2023-07-02,2024-07-01,438,Expired,0
TXN-93b0a372,C360-100011,Health Insurance,2024-07-01,2025-07-01,515,Expired,0
TXN-45c84ee3,C360-100011,Health Insurance,2025-07-01,2026-07-01,536,Active,0
TXN-26033d3f,C360-100012,Health Insurance,2021-07-02,2022-07-02,1486,Expired,0
TXN-48306ae0,C360-100012,Health Insurance,2022-07-02,2023-07-02,1521,Expired,0
TXN-5f3d075d,C360-100012,Health Insurance,2023-07-02,2024-07-01,1586,Expired,0
TXN-1f45a63c,C360-100012,Health Insurance,2024-07-01,2025-07-01,1540,Expired,1
TXN-66e175bd,C360-100012,Health Insurance,2025-07-01,2026-07-01,1646,Active,0
TXN-bedfa290,C360-100013,Life Insurance,2021-07-02,2022-07-02,697,Expired,0
TXN-72c87153,C360-100013,Accidental Insurance,2021-07-02,2022-07-02,720,Expired,0
TXN-42e27c4a,C360-100013,Accidental Insurance,2022-07-02,2023-07-02,759,Expired,0
TXN-07378af7,C360-100013,Accidental Insurance,2023-07-02,2024-07-01,756,Expired,0
TXN-efb7b9e3,C360-100013,Accidental Insurance,2024-07-01,2025-07-01,846,Expired,0
TXN-0a436a17,C360-100013,Accidental Insurance,2025-07-01,2026-07-01,868,Active,0
TXN-2f632f78,C360-100014,Health Insurance,2021-07-02,2022-07-02,681,Expired,1
TXN-6b5afbf7,C360-100014,Health Insurance,2022-07-02,2023-07-02,723,Expired,0
TXN-f790c03a,C360-100014,Health Insurance,2023-07-02,2024-07-01,763,Expired,0
TXN-9abbfd32,C360-100014,Health Insurance,2024-07-01,2025-07-01,780,Expired,0
TXN-a7d17661,C360-100014,Health Insurance,2025-07-01,2026-07-01,789,Active,0
TXN-8df32113,C360-100014,Life Insurance,2021-07-02,2022-07-02,310,Expired,0
TXN-e875844b,C360-100014,Life Insurance,2022-07-02,2023-07-02,359,Expired,0
TXN-a2628ec2,C360-100014,Life Insurance,2023-07-02,2024-07-01,382,Expired,0
TXN-0152c461,C360-100014,Life Insurance,2024-07-01,2025-07-01,397,Expired,0
TXN-06c5afdf,C360-100014,Life Insurance,2025-07-01,2026-07-01,386,Active,0
TXN-2553f821,C360-100014,Motor Insurance,2021-07-02,2022-07-02,490,Expired,0
TXN-f9a8dbb5,C360-100014,Motor Insurance,2022-07-02,2023-07-02,526,Expired,1
TXN-cfe0c6b8,C360-100014,Motor Insurance,2023-07-02,2024-07-01,536,Expired,0
TXN-ff7a4fec,C360-100014,Motor Insurance,2024-07-01,2025-07-01,541,Expired,1
TXN-41dda973,C360-100014,Motor Insurance,2025-07-01,2026-07-01,530,Active,0
TXN-1296d85f,C360-100014,Accidental Insurance,2021-07-02,2022-07-02,375,Expired,0
TXN-6c143bc6,C360-100014,Accidental Insurance,2022-07-02,2023-07-02,421,Expired,0
TXN-d1524295,C360-100014,Accidental Insurance,2023-07-02,2024-07-01,415,Expired,0
TXN-58ae8150,C360-100014,Accidental Insurance,2024-07-01,2025-07-01,411,Expired,0
TXN-5cfd56c7,C360-100014,Accidental Insurance,2025-07-01,2026-07-01,431,Active,0
TXN-022296c0,C360-100015,Life Insurance,2021-07-02,2022-07-02,1225,Expired,0
TXN-50ed521f,C360-100015,Life Insurance,2022-07-02,2023-07-02,1235,Expired,0
TXN-3b697703,C360-100015,Life Insurance,2023-07-02,2024-07-01,1273,Expired,0
TXN-bf3ec2ae,C360-100015,Life Insurance,2024-07-01,2025-07-01,1264,Expired,0
TXN-1fc946ca,C360-100015,Life Insurance,2025-07-01,2026-07-01,1401,Active,1
TXN-8440f151,C360-100015,Health Insurance,2021-07-02,2022-07-02,935,Expired,0
TXN-7ca1dc9c,C360-100015,Health Insurance,2022-07-02,2023-07-02,952,Expired,2
TXN-ff1a9232,C360-100015,Health Insurance,2023-07-02,2024-07-01,997,Expired,0
TXN-6b93422f,C360-100015,Health Insurance,2024-07-01,2025-07-01,1022,Expired,0
TXN-4178a405,C360-100015,Health Insurance,2025-07-01,2026-07-01,975,Active,0
TXN-e6c81a3f,C360-100016,Health Insurance,2021-07-02,2022-07-02,887,Expired,0
TXN-f247459c,C360-100016,Health Insurance,2022-07-02,2023-07-02,922,Expired,0
TXN-991dccdf,C360-100016,Health Insurance,2023-07-02,2024-07-01,975,Expired,1
TXN-bf0c5e22,C360-100016,Motor Insurance,2021-07-02,2022-07-02,409,Expired,0
TXN-e480201e,C360-100016,Motor Insurance,2022-07-02,2023-07-02,434,Expired,0
TXN-f9c0b8c0,C360-100016,Motor Insurance,2023-07-02,2024-07-01,453,Expired,0
TXN-09b64750,C360-100016,Motor Insurance,2024-07-01,2025-07-01,493,Expired,0
TXN-bb21c2f4,C360-100016,Motor Insurance,2025-07-01,2026-07-01,481,Cancelled,0
TXN-307646f2,C360-100016,Accidental Insurance,2021-07-02,2022-07-02,662,Expired,1
TXN-4e0c2281,C360-100017,Accidental Insurance,2021-07-02,2022-07-02,485,Expired,1
TXN-59fb5b2c,C360-100017,Accidental Insurance,2022-07-02,2023-07-02,519,Expired,0
TXN-5d113bed,C360-100017,Accidental Insurance,2023-07-02,2024-07-01,527,Expired,0
TXN-30fa5dea,C360-100017,Accidental Insurance,2024-07-01,2025-07-01,587,Expired,0
TXN-38b5e32d,C360-100017,Accidental Insurance,2025-07-01,2026-07-01,673,Cancelled,0
TXN-80558267,C360-100017,Life Insurance,2021-07-02,2022-07-02,370,Expired,0
TXN-16525169,C360-100017,Life Insurance,2022-07-02,2023-07-02,401,Expired,0
TXN-837fa0c1,C360-100017,Life Insurance,2023-07-02,2024-07-01,398,Expired,0
TXN-ccf0bd67,C360-100018,Health Insurance,2021-07-02,2022-07-02,518,Expired,1
TXN-74277ada,C360-100018,Health Insurance,2022-07-02,2023-07-02,543,Expired,0
TXN-17d0af8a,C360-100018,Health Insurance,2023-07-02,2024-07-01,590,Expired,0
TXN-c9c2b6b3,C360-100018,Health Insurance,2024-07-01,2025-07-01,668,Expired,0
TXN-e413c625,C360-100018,Health Insurance,2025-07-01,2026-07-01,710,Active,0
TXN-3200d489,C360-100018,Life Insurance,2021-07-02,2022-07-02,440,Expired,0
TXN-251ea7fb,C360-100018,Life Insurance,2022-07-02,2023-07-02,472,Expired,0
TXN-fd557510,C360-100018,Life Insurance,2023-07-02,2024-07-01,528,Expired,0
TXN-7dd77ff2,C360-100018,Life Insurance,2024-07-01,2025-07-01,500,Expired,0
TXN-e5b78bae,C360-100018,Life Insurance,2025-07-01,2026-07-01,560,Active,0
TXN-de71c5f5,C360-100018,Motor Insurance,2021-07-02,2022-07-02,1097,Expired,0
TXN-abf802ad,C360-100018,Motor Insurance,2022-07-02,2023-07-02,1129,Expired,0
TXN-09e17aa2,C360-100018,Motor Insurance,2023-07-02,2024-07-01,1193,Expired,0
TXN-a11a6f88,C360-100018,Motor Insurance,2024-07-01,2025-07-01,1244,Expired,1
TXN-96efeffa,C360-100018,Motor Insurance,2025-07-01,2026-07-01,1145,Active,0
TXN-e2ab462d,C360-100018,Accidental Insurance,2021-07-02,2022-07-02,1418,Expired,0
TXN-5653e0a0,C360-100018,Accidental Insurance,2022-07-02,2023-07-02,1434,Expired,1
TXN-1c9889d5,C360-100018,Accidental Insurance,2023-07-02,2024-07-01,1454,Expired,0
TXN-c8a965ef,C360-100018,Accidental Insurance,2024-07-01,2025-07-01,1511,Expired,0
TXN-57423f76,C360-100018,Accidental Insurance,2025-07-01,2026-07-01,1490,Active,0
TXN-35eb84ea,C360-100019,Health Insurance,2021-07-02,2022-07-02,1407,Expired,0
TXN-e81dd7d4,C360-100019,Health Insurance,2022-07-02,2023-07-02,1447,Expired,0
TXN-3f46f6b1,C360-100019,Health Insurance,2023-07-02,2024-07-01,1503,Expired,0
TXN-3ef947de,C360-100019,Health Insurance,2024-07-01,2025-07-01,1548,Expired,0
TXN-aa86e0b8,C360-100019,Health Insurance,2025-07-01,2026-07-01,1459,Active,1
TXN-20049ae6,C360-100019,Life Insurance,2021-07-02,2022-07-02,379,Expired,0
TXN-1148b590,C360-100019,Life Insurance,2022-07-02,2023-07-02,410,Expired,0
TXN-32d2ecfd,C360-100019,Life Insurance,2023-07-02,2024-07-01,403,Expired,0
TXN-d0ae3694,C360-100019,Life Insurance,2024-07-01,2025-07-01,463,Expired,0
TXN-7ec29b60,C360-100019,Life Insurance,2025-07-01,2026-07-01,495,Active,0
TXN-f05e9fdc,C360-100019,Motor Insurance,2021-07-02,2022-07-02,432,Expired,0
TXN-00eab1cc,C360-100019,Motor Insurance,2022-07-02,2023-07-02,461,Expired,0
TXN-4b215bd6,C360-100019,Motor Insurance,2023-07-02,2024-07-01,454,Expired,0
TXN-3eca0f3f,C360-100019,Motor Insurance,2024-07-01,2025-07-01,582,Expired,0
TXN-89819100,C360-100019,Motor Insurance,2025-07-01,2026-07-01,504,Active,2
TXN-7cec3db2,C360-100019,Accidental Insurance,2021-07-02,2022-07-02,925,Expired,0
TXN-5fa2de87,C360-100019,Accidental Insurance,2022-07-02,2023-07-02,965,Expired,0
TXN-064d56d0,C360-100019,Accidental Insurance,2023-07-02,2024-07-01,989,Expired,0
TXN-907130ec,C360-100019,Accidental Insurance,2024-07-01,2025-07-01,1042,Expired,0
TXN-c1b26f15,C360-100019,Accidental Insurance,2025-07-01,2026-07-01,1057,Active,0
TXN-a546d20e,C360-100020,Accidental Insurance,2021-07-02,2022-07-02,755,Expired,0
TXN-39a7650a,C360-100020,Accidental Insurance,2022-07-02,2023-07-02,798,Expired,0
TXN-bc557d8e,C360-100020,Accidental Insurance,2023-07-02,2024-07-01,793,Expired,0
TXN-0e59d2a1,C360-100020,Accidental Insurance,2024-07-01,2025-07-01,866,Expired,1
TXN-5f2f822d,C360-100020,Accidental Insurance,2025-07-01,2026-07-01,939,Active,0
TXN-cab4b7d6,C360-100021,Life Insurance,2021-07-02,2022-07-02,936,Expired,0
TXN-fe741422,C360-100021,Life Insurance,2022-07-02,2023-07-02,959,Expired,0
TXN-2f202ab7,C360-100021,Life Insurance,2023-07-02,2024-07-01,962,Expired,0
TXN-dd5b7cd9,C360-100021,Life Insurance,2024-07-01,2025-07-01,1044,Expired,0
TXN-3b7eddfb,C360-100021,Life Insurance,2025-07-01,2026-07-01,1044,Active,0
TXN-d36199c8,C360-100022,Health Insurance,2021-07-02,2022-07-02,1352,Expired,0
TXN-5dd5c4fd,C360-100022,Health Insurance,2022-07-02,2023-07-02,1391,Expired,0
TXN-265663f2,C360-100022,Health Insurance,2023-07-02,2024-07-01,1390,Expired,2
TXN-7ddd86f6,C360-100022,Health Insurance,2024-07-01,2025-07-01,1439,Expired,0
TXN-ff76c340,C360-100022,Health Insurance,2025-07-01,2026-07-01,1456,Active,0
TXN-d9e3a823,C360-100022,Life Insurance,2021-07-02,2022-07-02,1407,Expired,0
TXN-2ec0f381,C360-100022,Motor Insurance,2021-07-02,2022-07-02,672,Expired,1
TXN-c6a24dfa,C360-100022,Motor Insurance,2022-07-02,2023-07-02,702,Expired,0
TXN-f33b179d,C360-100022,Motor Insurance,2023-07-02,2024-07-01,714,Expired,0
TXN-0ed9bcd7,C360-100022,Accidental Insurance,2021-07-02,2022-07-02,1081,Expired,0
TXN-bbc62157,C360-100022,Accidental Insurance,2022-07-02,2023-07-02,1101,Expired,0
TXN-3908587e,C360-100023,Health Insurance,2021-07-02,2022-07-02,1246,Expired,1
TXN-66829aff,C360-100023,Health Insurance,2022-07-02,2023-07-02,1266,Expired,1
TXN-fd94e0ab,C360-100023,Health Insurance,2023-07-02,2024-07-01,1288,Expired,2
TXN-cd6a232c,C360-100023,Health Insurance,2024-07-01,2025-07-01,1375,Expired,0
TXN-f77c3080,C360-100023,Health Insurance,2025-07-01,2026-07-01,1358,Active,0
TXN-3ff8e89f,C360-100023,Life Insurance,2021-07-02,2022-07-02,578,Expired,0
TXN-bcb4f53f,C360-100023,Life Insurance,2022-07-02,2023-07-02,595,Expired,1
TXN-2c2e2943,C360-100023,Life Insurance,2023-07-02,2024-07-01,616,Expired,0
TXN-5d85fd81,C360-100023,Life Insurance,2024-07-01,2025-07-01,683,Expired,0
TXN-8d0ef0a3,C360-100023,Life Insurance,2025-07-01,2026-07-01,650,Active,2
TXN-221d3f63,C360-100023,Motor Insurance,2021-07-02,2022-07-02,839,Expired,0
TXN-3543b587,C360-100023,Motor Insurance,2022-07-02,2023-07-02,884,Expired,1
TXN-3cb6f52b,C360-100023,Motor Insurance,2023-07-02,2024-07-01,893,Expired,0
TXN-d8b0781d,C360-100023,Motor Insurance,2024-07-01,2025-07-01,896,Expired,0
TXN-61a3bb42,C360-100023,Motor Insurance,2025-07-01,2026-07-01,1003,Active,0
TXN-a48198b4,C360-100023,Accidental Insurance,2021-07-02,2022-07-02,1372,Expired,0
TXN-e37cdf8c,C360-100023,Accidental Insurance,2022-07-02,2023-07-02,1420,Expired,0
TXN-e011511e,C360-100023,Accidental Insurance,2023-07-02,2024-07-01,1470,Expired,0
TXN-5dad010b,C360-100023,Accidental Insurance,2024-07-01,2025-07-01,1450,Expired,1
TXN-e3e84281,C360-100023,Accidental Insurance,2025-07-01,2026-07-01,1448,Active,0
TXN-2cae9756,C360-100024,Life Insurance,2021-07-02,2022-07-02,964,Expired,0
TXN-24c0887a,C360-100024,Life Insurance,2022-07-02,2023-07-02,979,Expired,0
TXN-8e3f37a0,C360-100024,Life Insurance,2023-07-02,2024-07-01,1012,Expired,0
TXN-6c6267e1,C360-100024,Life Insurance,2024-07-01,2025-07-01,997,Expired,0
TXN-abde55d6,C360-100024,Life Insurance,2025-07-01,2026-07-01,1016,Active,0
TXN-3096b134,C360-100026,Health Insurance,2021-07-02,2022-07-02,1263,Expired,0
TXN-b3b6b1b2,C360-100027,Health Insurance,2021-07-02,2022-07-02,722,Expired,0
TXN-284f6215,C360-100027,Health Insurance,2022-07-02,2023-07-02,753,Expired,0
TXN-48699b01,C360-100027,Health Insurance,2023-07-02,2024-07-01,804,Expired,2
TXN-6ebe3783,C360-100027,Health Insurance,2024-07-01,2025-07-01,776,Expired,0
TXN-6fc4e600,C360-100027,Health Insurance,2025-07-01,2026-07-01,830,Active,0
TXN-b37b702c,C360-100027,Accidental Insurance,2021-07-02,2022-07-02,1344,Expired,0
TXN-8ed1fd30,C360-100027,Accidental Insurance,2022-07-02,2023-07-02,1369,Expired,0
TXN-47b8e4f9,C360-100027,Accidental Insurance,2023-07-02,2024-07-01,1370,Expired,0
TXN-8cf972f7,C360-100027,Accidental Insurance,2024-07-01,2025-07-01,1446,Expired,0
TXN-8dfbbaad,C360-100027,Accidental Insurance,2025-07-01,2026-07-01,1520,Active,0
TXN-5cd34a7f,C360-100028,Motor Insurance,2021-07-02,2022-07-02,1420,Expired,0
TXN-ab3e143a,C360-100028,Motor Insurance,2022-07-02,2023-07-02,1453,Expired,0
TXN-f1dbad5e,C360-100028,Motor Insurance,2023-07-02,2024-07-01,1490,Expired,0
TXN-80124bc8,C360-100028,Motor Insurance,2024-07-01,2025-07-01,1558,Expired,0
TXN-05355ebb,C360-100028,Motor Insurance,2025-07-01,2026-07-01,1528,Active,0
TXN-22d1a641,C360-100029,Motor Insurance,2021-07-02,2022-07-02,477,Expired,0
TXN-5a0676a4,C360-100029,Motor Insurance,2022-07-02,2023-07-02,515,Expired,0
TXN-20756097,C360-100029,Motor Insurance,2023-07-02,2024-07-01,505,Expired,0
TXN-b05b63dd,C360-100029,Motor Insurance,2024-07-01,2025-07-01,543,Expired,0
TXN-ecc6243b,C360-100029,Motor Insurance,2025-07-01,2026-07-01,569,Active,0
TXN-8ffbd1d1,C360-100029,Health Insurance,2021-07-02,2022-07-02,827,Expired,0
TXN-2bdbc722,C360-100029,Health Insurance,2022-07-02,2023-07-02,855,Expired,0
TXN-d08b7d64,C360-100029,Health Insurance,2023-07-02,2024-07-01,867,Expired,0
TXN-305a7f25,C360-100029,Health Insurance,2024-07-01,2025-07-01,911,Expired,1
TXN-35af290d,C360-100029,Health Insurance,2025-07-01,2026-07-01,903,Active,0
TXN-8894aad3,C360-100030,Health Insurance,2021-07-02,2022-07-02,697,Expired,0
TXN-da1f7193,C360-100030,Health Insurance,2022-07-02,2023-07-02,736,Expired,0
TXN-6b0158d5,C360-100030,Health Insurance,2023-07-02,2024-07-01,745,Expired,0
TXN-2e32d5ed,C360-100030,Health Insurance,2024-07-01,2025-07-01,820,Expired,1
TXN-2465cd40,C360-100030,Health Insurance,2025-07-01,2026-07-01,805,Active,0
TXN-9258b38d,C360-100030,Life Insurance,2021-07-02,2022-07-02,810,Expired,1
TXN-df944c7b,C360-100030,Life Insurance,2022-07-02,2023-07-02,837,Expired,0
TXN-0aa1a153,C360-100030,Life Insurance,2023-07-02,2024-07-01,872,Expired,0
