Date,Store,Category,Product,Demand_Volume
2022-01-09,Trader Joes,Dairy,Yogurt,154
2022-01-09,Trader Joes,Meat,Chicken,176
2022-01-09,Trader Joes,Meat,Beef,171
2022-01-09,Trader Joes,Meat,Pork,306
2022-01-09,Kroger,Produce,Apples,457
2022-01-09,Kroger,Produce,Bananas,512
2022-01-09,Kroger,Produce,Carrots,172
2022-01-09,Kroger,Dairy,Milk,152
2022-01-09,Kroger,Dairy,Cheese,490
2022-01-09,Kroger,Dairy,Yogurt,103
2022-01-09,Kroger,Meat,Chicken,372
2022-01-09,Kroger,Meat,Beef,178
2022-01-09,Kroger,Meat,Pork,485
2022-01-10,Whole Foods,Produce,Apples,446
2022-01-10,Whole Foods,Produce,Bananas,508
2022-01-10,Whole Foods,Produce,Carrots,179
2022-01-10,Whole Foods,Dairy,Milk,245
2022-01-10,Whole Foods,Dairy,Cheese,288
2022-01-10,Whole Foods,Dairy,Yogurt,368
2022-01-10,Whole Foods,Meat,Chicken,137
2022-01-10,Whole Foods,Meat,Beef,238
2022-01-10,Whole Foods,Meat,Pork,433
2022-01-10,Trader Joes,Produce,Apples,531
2022-01-10,Trader Joes,Produce,Bananas,248
2022-01-10,Trader Joes,Produce,Carrots,449
2022-01-10,Trader Joes,Dairy,Milk,371
2022-01-10,Trader Joes,Dairy,Cheese,496
2022-01-10,Trader Joes,Dairy,Yogurt,186
2022-01-10,Trader Joes,Meat,Chicken,477
2022-01-10,Trader Joes,Meat,Beef,175
2022-01-10,Trader Joes,Meat,Pork,242
2022-01-10,Kroger,Produce,Apples,358
2022-01-10,Kroger,Produce,Bananas,322
2022-01-10,Kroger,Produce,Carrots,609
2022-01-10,Kroger,Dairy,Milk,202
2022-01-10,Kroger,Dairy,Cheese,192
2022-01-10,Kroger,Dairy,Yogurt,129
2022-01-10,Kroger,Meat,Chicken,409
2022-01-10,Kroger,Meat,Beef,189
2022-01-10,Kroger,Meat,Pork,475
2022-01-11,Whole Foods,Produce,Apples,295
2022-01-11,Whole Foods,Produce,Bananas,531
2022-01-11,Whole Foods,Produce,Carrots,388
2022-01-11,Whole Foods,Dairy,Milk,312
2022-01-11,Whole Foods,Dairy,Cheese,291
2022-01-11,Whole Foods,Dairy,Yogurt,308
2022-01-11,Whole Foods,Meat,Chicken,132
2022-01-11,Whole Foods,Meat,Beef,218
2022-01-11,Whole Foods,Meat,Pork,151
2022-01-11,Trader Joes,Produce,Apples,556
2022-01-11,Trader Joes,Produce,Bananas,297
2022-01-11,Trader Joes,Produce,Carrots,528
2022-01-11,Trader Joes,Dairy,Milk,226
2022-01-11,Trader Joes,Dairy,Cheese,340
2022-01-11,Trader Joes,Dairy,Yogurt,487
2022-01-11,Trader Joes,Meat,Chicken,149
2022-01-11,Trader Joes,Meat,Beef,209
2022-01-11,Trader Joes,Meat,Pork,264
2022-01-11,Kroger,Produce,Apples,277
2022-01-11,Kroger,Produce,Bananas,384
2022-01-11,Kroger,Produce,Carrots,305
2022-01-11,Kroger,Dairy,Milk,270
2022-01-11,Kroger,Dairy,Cheese,491
2022-01-11,Kroger,Dairy,Yogurt,449
2022-01-11,Kroger,Meat,Chicken,409
2022-01-11,Kroger,Meat,Beef,423
2022-01-11,Kroger,Meat,Pork,431
2022-01-12,Whole Foods,Produce,Apples,411
2022-01-12,Whole Foods,Produce,Bananas,560
2022-01-12,Whole Foods,Produce,Carrots,537
2022-01-12,Whole Foods,Dairy,Milk,385
2022-01-12,Whole Foods,Dairy,Cheese,430
2022-01-12,Whole Foods,Dairy,Yogurt,207
2022-01-12,Whole Foods,Meat,Chicken,463
2022-01-12,Whole Foods,Meat,Beef,458
2022-01-12,Whole Foods,Meat,Pork,235
2022-01-12,Trader Joes,Produce,Apples,409
2022-01-12,Trader Joes,Produce,Bananas,396
2022-01-12,Trader Joes,Produce,Carrots,508
2022-01-12,Trader Joes,Dairy,Milk,433
2022-01-12,Trader Joes,Dairy,Cheese,281
2022-01-12,Trader Joes,Dairy,Yogurt,437
2022-01-12,Trader Joes,Meat,Chicken,404
2022-01-12,Trader Joes,Meat,Beef,180
2022-01-12,Trader Joes,Meat,Pork,252
2022-01-12,Kroger,Produce,Apples,245
2022-01-12,Kroger,Produce,Bananas,537
2022-01-12,Kroger,Produce,Carrots,624
2022-01-12,Kroger,Dairy,Milk,103
2022-01-12,Kroger,Dairy,Cheese,315
2022-01-12,Kroger,Dairy,Yogurt,397
2022-01-12,Kroger,Meat,Chicken,208
2022-01-12,Kroger,Meat,Beef,225
2022-01-12,Kroger,Meat,Pork,362
2022-01-13,Whole Foods,Produce,Apples,303
2022-01-13,Whole Foods,Produce,Bananas,218
2022-01-13,Whole Foods,Produce,Carrots,185
2022-01-13,Whole Foods,Dairy,Milk,182
2022-01-13,Whole Foods,Dairy,Cheese,336
2022-01-13,Whole Foods,Dairy,Yogurt,452
2022-01-13,Whole Foods,Meat,Chicken,479
2022-01-13,Whole Foods,Meat,Beef,158
2022-01-13,Whole Foods,Meat,Pork,290
2022-01-13,Trader Joes,Produce,Apples,620
2022-01-13,Trader Joes,Produce,Bananas,313
2022-01-13,Trader Joes,Produce,Carrots,262
2022-01-13,Trader Joes,Dairy,Milk,135
2022-01-13,Trader Joes,Dairy,Cheese,322
2022-01-13,Trader Joes,Dairy,Yogurt,140
2022-01-13,Trader Joes,Meat,Chicken,181
2022-01-13,Trader Joes,Meat,Beef,229
2022-01-13,Trader Joes,Meat,Pork,274
2022-01-13,Kroger,Produce,Apples,283
2022-01-13,Kroger,Produce,Bananas,365
2022-01-13,Kroger,Produce,Carrots,518
2022-01-13,Kroger,Dairy,Milk,357
2022-01-13,Kroger,Dairy,Cheese,158
2022-01-13,Kroger,Dairy,Yogurt,319
2022-01-13,Kroger,Meat,Chicken,345
2022-01-13,Kroger,Meat,Beef,490
2022-01-13,Kroger,Meat,Pork,130
2022-01-14,Whole Foods,Produce,Apples,426
2022-01-14,Whole Foods,Produce,Bananas,428
2022-01-14,Whole Foods,Produce,Carrots,339
2022-01-14,Whole Foods,Dairy,Milk,284
2022-01-14,Whole Foods,Dairy,Cheese,430
2022-01-14,Whole Foods,Dairy,Yogurt,253
2022-01-14,Whole Foods,Meat,Chicken,386
2022-01-14,Whole Foods,Meat,Beef,371
2022-01-14,Whole Foods,Meat,Pork,439
2022-01-14,Trader Joes,Produce,Apples,478
2022-01-14,Trader Joes,Produce,Bananas,437
2022-01-14,Trader Joes,Produce,Carrots,511
2022-01-14,Trader Joes,Dairy,Milk,255
2022-01-14,Trader Joes,Dairy,Cheese,355
2022-01-14,Trader Joes,Dairy,Yogurt,162
2022-01-14,Trader Joes,Meat,Chicken,418
2022-01-14,Trader Joes,Meat,Beef,356
2022-01-14,Trader Joes,Meat,Pork,449
2022-01-14,Kroger,Produce,Apples,257
2022-01-14,Kroger,Produce,Bananas,392
2022-01-14,Kroger,Produce,Carrots,340
2022-01-14,Kroger,Dairy,Milk,348
2022-01-14,Kroger,Dairy,Cheese,420
2022-01-14,Kroger,Dairy,Yogurt,243
2022-01-14,Kroger,Meat,Chicken,428
2022-01-14,Kroger,Meat,Beef,452
2022-01-14,Kroger,Meat,Pork,221
2022-01-15,Whole Foods,Produce,Apples,163
2022-01-15,Whole Foods,Produce,Bananas,457
2022-01-15,Whole Foods,Produce,Carrots,385
2022-01-15,Whole Foods,Dairy,Milk,278
2022-01-15,Whole Foods,Dairy,Cheese,478
2022-01-15,Whole Foods,Dairy,Yogurt,220
2022-01-15,Whole Foods,Meat,Chicken,130
2022-01-15,Whole Foods,Meat,Beef,277
2022-01-15,Whole Foods,Meat,Pork,311
2022-01-15,Trader Joes,Produce,Apples,257
2022-01-15,Trader Joes,Produce,Bananas,292
2022-01-15,Trader Joes,Produce,Carrots,556
2022-01-15,Trader Joes,Dairy,Milk,338
2022-01-15,Trader Joes,Dairy,Cheese,202
2022-01-15,Trader Joes,Dairy,Yogurt,213
2022-01-15,Trader Joes,Meat,Chicken,170
2022-01-15,Trader Joes,Meat,Beef,184
2022-01-15,Trader Joes,Meat,Pork,269
2022-01-15,Kroger,Produce,Apples,308
2022-01-15,Kroger,Produce,Bananas,418
2022-01-15,Kroger,Produce,Carrots,156
2022-01-15,Kroger,Dairy,Milk,121
2022-01-15,Kroger,Dairy,Cheese,244
2022-01-15,Kroger,Dairy,Yogurt,258
2022-01-15,Kroger,Meat,Chicken,335
2022-01-15,Kroger,Meat,Beef,289
2022-01-15,Kroger,Meat,Pork,228
2022-01-16,Whole Foods,Produce,Apples,454
2022-01-16,Whole Foods,Produce,Bananas,433
2022-01-16,Whole Foods,Produce,Carrots,233
2022-01-16,Whole Foods,Dairy,Milk,396
2022-01-16,Whole Foods,Dairy,Cheese,381
2022-01-16,Whole Foods,Dairy,Yogurt,350
2022-01-16,Whole Foods,Meat,Chicken,165
2022-01-16,Whole Foods,Meat,Beef,372
2022-01-16,Whole Foods,Meat,Pork,123
2022-01-16,Trader Joes,Produce,Apples,358
2022-01-16,Trader Joes,Produce,Bananas,273
2022-01-16,Trader Joes,Produce,Carrots,238
2022-01-16,Trader Joes,Dairy,Milk,468
2022-01-16,Trader Joes,Dairy,Cheese,485
2022-01-16,Trader Joes,Dairy,Yogurt,107
2022-01-16,Trader Joes,Meat,Chicken,249
2022-01-16,Trader Joes,Meat,Beef,307
2022-01-16,Trader Joes,Meat,Pork,463
2022-01-16,Kroger,Produce,Apples,350
2022-01-16,Kroger,Produce,Bananas,205
2022-01-16,Kroger,Produce,Carrots,497
2022-01-16,Kroger,Dairy,Milk,115
2022-01-16,Kroger,Dairy,Cheese,111
2022-01-16,Kroger,Dairy,Yogurt,493
2022-01-16,Kroger,Meat,Chicken,333
2022-01-16,Kroger,Meat,Beef,453
2022-01-16,Kroger,Meat,Pork,289
2022-01-17,Whole Foods,Produce,Apples,390
2022-01-17,Whole Foods,Produce,Bananas,430
2022-01-17,Whole Foods,Produce,Carrots,208
2022-01-17,Whole Foods,Dairy,Milk,396
2022-01-17,Whole Foods,Dairy,Cheese,365
2022-01-17,Whole Foods,Dairy,Yogurt,381
2022-01-17,Whole Foods,Meat,Chicken,386
2022-01-17,Whole Foods,Meat,Beef,464
2022-01-17,Whole Foods,Meat,Pork,322
2022-01-17,Trader Joes,Produce,Apples,203
2022-01-17,Trader Joes,Produce,Bananas,211
2022-01-17,Trader Joes,Produce,Carrots,505
2022-01-17,Trader Joes,Dairy,Milk,229
2022-01-17,Trader Joes,Dairy,Cheese,296
2022-01-17,Trader Joes,Dairy,Yogurt,303
2022-01-17,Trader Joes,Meat,Chicken,409
2022-01-17,Trader Joes,Meat,Beef,163
2022-01-17,Trader Joes,Meat,Pork,298
2022-01-17,Kroger,Produce,Apples,270
2022-01-17,Kroger,Produce,Bananas,575
2022-01-17,Kroger,Produce,Carrots,346
2022-01-17,Kroger,Dairy,Milk,317
2022-01-17,Kroger,Dairy,Cheese,366
2022-01-17,Kroger,Dairy,Yogurt,115
2022-01-17,Kroger,Meat,Chicken,467
2022-01-17,Kroger,Meat,Beef,347
2022-01-17,Kroger,Meat,Pork,425
2022-01-18,Whole Foods,Produce,Apples,596
2022-01-18,Whole Foods,Produce,Bananas,342
2022-01-18,Whole Foods,Produce,Carrots,296
2022-01-18,Whole Foods,Dairy,Milk,393
2022-01-18,Whole Foods,Dairy,Cheese,210
2022-01-18,Whole Foods,Dairy,Yogurt,284
2022-01-18,Whole Foods,Meat,Chicken,182
2022-01-18,Whole Foods,Meat,Beef,104
2022-01-18,Whole Foods,Meat,Pork,445
2022-01-18,Trader Joes,Produce,Apples,562
2022-01-18,Trader Joes,Produce,Bananas,385
2022-01-18,Trader Joes,Produce,Carrots,502
2022-01-18,Trader Joes,Dairy,Milk,472
2022-01-18,Trader Joes,Dairy,Cheese,477
2022-01-18,Trader Joes,Dairy,Yogurt,385
2022-01-18,Trader Joes,Meat,Chicken,213
2022-01-18,Trader Joes,Meat,Beef,222
2022-01-18,Trader Joes,Meat,Pork,408
2022-01-18,Kroger,Produce,Apples,433
2022-01-18,Kroger,Produce,Bananas,616
2022-01-18,Kroger,Produce,Carrots,298
2022-01-18,Kroger,Dairy,Milk,110
2022-01-18,Kroger,Dairy,Cheese,268
2022-01-18,Kroger,Dairy,Yogurt,259
2022-01-18,Kroger,Meat,Chicken,487
2022-01-18,Kroger,Meat,Beef,172
2022-01-18,Kroger,Meat,Pork,224
2022-01-19,Whole Foods,Produce,Apples,581
2022-01-19,Whole Foods,Produce,Bananas,473
2022-01-19,Whole Foods,Produce,Carrots,283
2022-01-19,Whole Foods,Dairy,Milk,455
2022-01-19,Whole Foods,Dairy,Cheese,253
2022-01-19,Whole Foods,Dairy,Yogurt,276
2022-01-19,Whole Foods,Meat,Chicken,165
2022-01-19,Whole Foods,Meat,Beef,473
2022-01-19,Whole Foods,Meat,Pork,306
2022-01-19,Trader Joes,Produce,Apples,469
2022-01-19,Trader Joes,Produce,Bananas,278
2022-01-19,Trader Joes,Produce,Carrots,321
2022-01-19,Trader Joes,Dairy,Milk,382
2022-01-19,Trader Joes,Dairy,Cheese,382
2022-01-19,Trader Joes,Dairy,Yogurt,282
2022-01-19,Trader Joes,Meat,Chicken,431
2022-01-19,Trader Joes,Meat,Beef,444
2022-01-19,Trader Joes,Meat,Pork,352
2022-01-19,Kroger,Produce,Apples,541
2022-01-19,Kroger,Produce,Bananas,484
2022-01-19,Kroger,Produce,Carrots,516
2022-01-19,Kroger,Dairy,Milk,275
2022-01-19,Kroger,Dairy,Cheese,475
2022-01-19,Kroger,Dairy,Yogurt,161
2022-01-19,Kroger,Meat,Chicken,122
2022-01-19,Kroger,Meat,Beef,157
2022-01-19,Kroger,Meat,Pork,289
2022-01-20,Whole Foods,Produce,Apples,386
2022-01-20,Whole Foods,Produce,Bananas,415
2022-01-20,Whole Foods,Produce,Carrots,453
2022-01-20,Whole Foods,Dairy,Milk,150
2022-01-20,Whole Foods,Dairy,Cheese,343
2022-01-20,Whole Foods,Dairy,Yogurt,285
2022-01-20,Whole Foods,Meat,Chicken,360
2022-01-20,Whole Foods,Meat,Beef,232
2022-01-20,Whole Foods,Meat,Pork,376
2022-01-20,Trader Joes,Produce,Apples,212
2022-01-20,Trader Joes,Produce,Bananas,163
2022-01-20,Trader Joes,Produce,Carrots,424
2022-01-20,Trader Joes,Dairy,Milk,305
2022-01-20,Trader Joes,Dairy,Cheese,308
2022-01-20,Trader Joes,Dairy,Yogurt,467
2022-01-20,Trader Joes,Meat,Chicken,235
2022-01-20,Trader Joes,Meat,Beef,461
2022-01-20,Trader Joes,Meat,Pork,411
2022-01-20,Kroger,Produce,Apples,431
2022-01-20,Kroger,Produce,Bananas,296
2022-01-20,Kroger,Produce,Carrots,552
2022-01-20,Kroger,Dairy,Milk,448
2022-01-20,Kroger,Dairy,Cheese,492
2022-01-20,Kroger,Dairy,Yogurt,122
2022-01-20,Kroger,Meat,Chicken,234
2022-01-20,Kroger,Meat,Beef,216
2022-01-20,Kroger,Meat,Pork,133
2022-01-21,Whole Foods,Produce,Apples,396
2022-01-21,Whole Foods,Produce,Bananas,198
2022-01-21,Whole Foods,Produce,Carrots,226
2022-01-21,Whole Foods,Dairy,Milk,331
2022-01-21,Whole Foods,Dairy,Cheese,217
2022-01-21,Whole Foods,Dairy,Yogurt,460
2022-01-21,Whole Foods,Meat,Chicken,350
2022-01-21,Whole Foods,Meat,Beef,144
2022-01-21,Whole Foods,Meat,Pork,360
2022-01-21,Trader Joes,Produce,Apples,420
2022-01-21,Trader Joes,Produce,Bananas,212
2022-01-21,Trader Joes,Produce,Carrots,250
2022-01-21,Trader Joes,Dairy,Milk,100
2022-01-21,Trader Joes,Dairy,Cheese,452
2022-01-21,Trader Joes,Dairy,Yogurt,291
2022-01-21,Trader Joes,Meat,Chicken,258
2022-01-21,Trader Joes,Meat,Beef,452
2022-01-21,Trader Joes,Meat,Pork,220
2022-01-21,Kroger,Produce,Apples,494
2022-01-21,Kroger,Produce,Bananas,268
2022-01-21,Kroger,Produce,Carrots,444
2022-01-21,Kroger,Dairy,Milk,446
2022-01-21,Kroger,Dairy,Cheese,459
2022-01-21,Kroger,Dairy,Yogurt,301
2022-01-21,Kroger,Meat,Chicken,374
2022-01-21,Kroger,Meat,Beef,119
2022-01-21,Kroger,Meat,Pork,145
2022-01-22,Whole Foods,Produce,Apples,349
2022-01-22,Whole Foods,Produce,Bananas,503
2022-01-22,Whole Foods,Produce,Carrots,534
2022-01-22,Whole Foods,Dairy,Milk,215
2022-01-22,Whole Foods,Dairy,Cheese,103
2022-01-22,Whole Foods,Dairy,Yogurt,396
