Date,Company,Freight_Type,Shipping_Lane,Vessel_Name,IMO_Number,Vessel_Capacity,Volume_Tons
2022-01-03,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,8476
2022-01-03,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,14038
2022-01-03,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,12423
2022-01-03,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,8608
2022-01-03,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,6141
2022-01-03,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,8407
2022-01-03,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,12251
2022-01-03,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,12197
2022-01-03,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,14151
2022-01-03,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,5022
2022-01-03,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,6313
2022-01-03,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,8145
2022-01-03,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,10694
2022-01-04,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,6781
2022-01-04,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,7595
2022-01-04,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,14980
2022-01-04,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,9284
2022-01-04,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,14348
2022-01-04,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,9441
2022-01-04,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,14243
2022-01-04,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,11473
2022-01-04,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,10979
2022-01-04,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,7877
2022-01-04,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,8186
2022-01-04,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,12119
2022-01-04,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,8365
2022-01-04,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,9913
2022-01-04,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,10173
2022-01-04,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,13038
2022-01-04,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,6000
2022-01-04,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,9352
2022-01-04,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,8212
2022-01-04,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,12145
2022-01-05,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,5441
2022-01-05,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,9859
2022-01-05,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,13329
2022-01-05,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,8901
2022-01-05,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,8139
2022-01-05,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,9971
2022-01-05,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,6802
2022-01-05,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,14353
2022-01-05,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,5886
2022-01-05,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,5847
2022-01-05,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,9159
2022-01-05,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,6725
2022-01-05,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,10880
2022-01-05,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,11117
2022-01-05,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,8577
2022-01-05,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,10514
2022-01-05,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,14961
2022-01-05,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,7297
2022-01-05,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,9700
2022-01-05,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,5802
2022-01-06,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,6015
2022-01-06,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,7842
2022-01-06,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,6000
2022-01-06,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,9760
2022-01-06,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,9706
2022-01-06,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,8696
2022-01-06,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,13843
2022-01-06,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,10664
2022-01-06,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,9936
2022-01-06,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,10078
2022-01-06,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,9593
2022-01-06,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,14759
2022-01-06,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,12124
2022-01-06,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,5229
2022-01-06,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,6275
2022-01-06,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,9607
2022-01-06,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,7444
2022-01-06,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,7477
2022-01-06,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,11278
2022-01-06,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,6044
2022-01-07,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,6826
2022-01-07,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,10682
2022-01-07,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,11469
2022-01-07,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,9873
2022-01-07,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,9074
2022-01-07,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,5224
2022-01-07,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,8997
2022-01-07,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,11708
2022-01-07,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,9294
2022-01-07,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,9364
2022-01-07,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,8601
2022-01-07,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,6680
2022-01-07,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,6584
2022-01-07,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,9505
2022-01-07,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,8283
2022-01-07,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,6369
2022-01-07,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,7904
2022-01-07,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,13367
2022-01-07,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,5976
2022-01-07,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,8632
2022-01-08,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,7146
2022-01-08,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,11963
2022-01-08,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,12386
2022-01-08,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,12855
2022-01-08,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,10966
2022-01-08,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,8267
2022-01-08,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,13724
2022-01-08,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,13275
2022-01-08,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,8367
2022-01-08,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,11358
2022-01-08,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,14784
2022-01-08,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,9977
2022-01-08,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,11924
2022-01-08,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,10382
2022-01-08,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,6393
2022-01-08,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,5494
2022-01-08,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,6750
2022-01-08,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,12838
2022-01-08,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,14436
2022-01-08,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,6029
2022-01-09,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,12563
2022-01-09,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,6556
2022-01-09,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,5882
2022-01-09,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,9547
2022-01-09,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,8488
2022-01-09,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,13431
2022-01-09,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,14553
2022-01-09,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,9715
2022-01-09,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,5042
2022-01-09,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,14028
2022-01-09,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,11698
2022-01-09,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,7454
2022-01-09,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,9474
2022-01-09,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,5555
2022-01-09,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,9482
2022-01-09,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,11321
2022-01-09,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,11101
2022-01-09,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,5928
2022-01-09,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,9820
2022-01-09,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,9087
2022-01-10,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,11970
2022-01-10,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,5167
2022-01-10,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,12423
2022-01-10,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,7884
2022-01-10,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,8515
2022-01-10,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,11453
2022-01-10,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,11157
2022-01-10,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,8414
2022-01-10,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,13604
2022-01-10,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,9770
2022-01-10,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,13347
2022-01-10,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,5577
2022-01-10,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,12749
2022-01-10,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,9400
2022-01-10,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,9006
2022-01-10,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,11477
2022-01-10,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,9212
2022-01-10,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,11047
2022-01-10,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,7821
2022-01-10,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,12073
2022-01-11,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,6530
2022-01-11,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,13732
2022-01-11,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,12946
2022-01-11,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,10167
2022-01-11,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,12893
2022-01-11,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,8541
2022-01-11,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,8832
2022-01-11,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,7357
2022-01-11,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,11257
2022-01-11,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,13114
2022-01-11,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,10589
2022-01-11,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,6466
2022-01-11,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,11285
2022-01-11,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,5265
2022-01-11,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,13174
2022-01-11,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,14475
2022-01-11,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,8853
2022-01-11,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,11996
2022-01-11,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,8595
2022-01-11,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,10350
2022-01-12,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,7161
2022-01-12,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,13335
2022-01-12,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,11952
2022-01-12,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,14966
2022-01-12,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,11144
2022-01-12,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,9772
2022-01-12,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,12530
2022-01-12,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,11349
2022-01-12,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,14217
2022-01-12,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,5061
2022-01-12,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,6443
2022-01-12,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,8966
2022-01-12,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,5581
2022-01-12,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,11309
2022-01-12,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,9892
2022-01-12,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,5967
2022-01-12,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,8556
2022-01-12,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,13826
2022-01-12,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,14506
2022-01-12,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,13899
2022-01-13,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,8361
2022-01-13,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,11853
2022-01-13,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,5500
2022-01-13,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,7503
2022-01-13,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,6836
2022-01-13,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,5732
2022-01-13,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,12800
2022-01-13,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,6023
2022-01-13,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,13927
2022-01-13,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,5439
2022-01-13,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,12450
2022-01-13,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,5433
2022-01-13,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,12613
2022-01-13,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,8487
2022-01-13,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,5890
2022-01-13,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,12473
